mode,trades,win,pf,mean_bars,total
TrailOnly,11,0.36363636363636365,0.506103071939776,13.0,-3222.4827195172375
StopOnly,4,0.0,0.0,6.0,-2266.076446886144
Both,11,0.36363636363636365,0.5300648392345005,12.909090909090908,-2927.5356257578037
