start,length,n,R,pf,win,ext,up,back,rng_atr,ctrl_R,ctrl_ext,excess,p_ctrl,block
570,30,265,0.05485445451364415,1.0937526883364903,0.3886792452830189,3.3668511543541544,0.5300751879699248,0.9962406015037594,3.451408258623587,-0.0017556578244403427,2.604967405565397,0.056610112338084495,0.2866666666666667,locked
600,30,266,0.02090557905567105,1.0390903611613265,0.42857142857142855,2.6517851860198487,0.5526315789473685,1.0,2.5610311613987817,-0.0017556578244403427,2.604967405565397,0.022661236880111395,0.42,locked
630,30,266,0.12341659073109289,1.2451393460356592,0.4473684210526316,3.0112866103376814,0.518796992481203,1.0,2.2373587197408065,-0.0017556578244403427,2.604967405565397,0.12517224855553322,0.03333333333333333,locked
660,30,263,0.0636117368786208,1.118577426350379,0.41064638783269963,2.81663536932799,0.5263157894736842,0.9887218045112782,2.2704477385908435,-0.0017556578244403427,2.604967405565397,0.06536739470306115,0.25333333333333335,locked
690,30,265,0.08559082561560546,1.1621900088324941,0.4,2.923283801586672,0.5338345864661654,0.9962406015037594,2.2715078266735484,-0.0017556578244403427,2.604967405565397,0.08734648344004581,0.16666666666666666,locked
720,30,265,0.011089095412796388,1.0201031169096213,0.36981132075471695,2.7100719670269435,0.5375939849624061,0.9962406015037594,2.2826230163965926,-0.0017556578244403427,2.604967405565397,0.01284475323723673,0.48,locked
750,30,255,0.02025357217174631,1.0357756827705842,0.3764705882352941,2.8973194740442034,0.5450980392156862,1.0,2.313007476938148,-0.0017556578244403427,2.604967405565397,0.022009229996186652,0.44,locked
780,30,255,-0.026130334510207888,0.951355718116659,0.38823529411764707,2.6737177789600786,0.5176470588235295,1.0,2.371471030027066,-0.0017556578244403427,2.604967405565397,-0.024374676685767545,0.6066666666666667,locked
810,30,248,-0.04146739629582432,0.9212957473934154,0.39919354838709675,2.450531505037817,0.5098039215686274,0.9764705882352941,2.3834930496361086,-0.0017556578244403427,2.604967405565397,-0.03971173847138398,0.6533333333333333,locked
840,30,243,-0.09811578306433616,0.7861565212257461,0.4156378600823045,1.8012688293919676,0.5411764705882353,0.9725490196078431,2.406604215950503,-0.0017556578244403427,2.604967405565397,-0.09636012523989582,0.8666666666666667,locked
870,30,236,-0.07194810301788779,0.8274524811111499,0.4152542372881356,1.5075459110947234,0.5098039215686274,0.9607843137254902,2.303778391560939,-0.0017556578244403427,2.604967405565397,-0.07019244519344744,0.8066666666666666,locked
570,60,258,0.06458779091490663,1.1303049757969599,0.44573643410852715,2.522956829079029,0.5451127819548872,0.9699248120300752,4.267045614159176,-0.0248261252305481,2.423694027966342,0.08941391614545473,0.08666666666666667,locked
600,60,262,0.01510542669996713,1.0305068578554823,0.4541984732824427,2.724050653234216,0.518796992481203,0.9849624060150376,3.5707130964434297,-0.0248261252305481,2.423694027966342,0.03993155193051523,0.44666666666666666,locked
630,60,256,0.05245554411363441,1.099113121621637,0.40625,2.6914969258150356,0.5451127819548872,0.9661654135338346,3.310623612080247,-0.0248261252305481,2.423694027966342,0.07728166934418251,0.23333333333333334,locked
660,60,258,0.057763604387118195,1.1099929056649394,0.39147286821705424,2.8088901514026237,0.5413533834586466,0.9699248120300752,3.3509668117380267,-0.0248261252305481,2.423694027966342,0.0825897296176663,0.16666666666666666,locked
690,60,257,0.0013509871965717993,1.0024721976808186,0.36964980544747084,2.6447726386525585,0.5375939849624061,0.9661654135338346,3.408438647179967,-0.0248261252305481,2.423694027966342,0.026177112427119897,0.54,locked
720,60,249,-0.03504527053076288,0.9386314852717885,0.3614457831325301,2.799340995240031,0.5764705882352941,0.9764705882352941,3.3327322261169394,-0.0248261252305481,2.423694027966342,-0.010219145300214783,0.6133333333333333,locked
750,60,249,-0.03914257257170347,0.9247099318583011,0.3895582329317269,2.433798499435781,0.5372549019607843,0.9764705882352941,3.443204910977659,-0.0248261252305481,2.423694027966342,-0.01431644734115537,0.64,locked
780,60,242,-0.0744512698959113,0.8591840529788486,0.3760330578512397,2.253576595703099,0.5137254901960784,0.9529411764705882,3.3977298253515538,-0.0248261252305481,2.423694027966342,-0.049625144665363205,0.7466666666666667,locked
810,60,224,-0.1488521234242918,0.6825060672594769,0.40625,1.593961906559524,0.5137254901960784,0.9058823529411765,3.4735189736085696,-0.0248261252305481,2.423694027966342,-0.1240259981937437,0.9,locked
840,60,205,-0.13650727506065582,0.6850183880507409,0.3951219512195122,1.2701266602997534,0.47058823529411764,0.8509803921568627,3.378556943948941,-0.0248261252305481,2.423694027966342,-0.11168114983010773,0.8466666666666667,locked
570,90,246,0.09387399993727462,1.1978161173336908,0.45121951219512196,2.48647929050062,0.5075187969924813,0.924812030075188,5.175772609507533,-0.05590540741365578,2.228450275454187,0.1497794073509304,0.06,locked
600,90,247,0.01807894632729332,1.0366716119267747,0.4493927125506073,2.578497625836123,0.5150375939849624,0.9285714285714286,4.555903348876089,-0.05590540741365578,2.228450275454187,0.0739843537409491,0.2866666666666667,locked
630,90,246,0.03717852327056606,1.0712030519819042,0.3861788617886179,2.631549700400302,0.5375939849624061,0.9323308270676691,4.2414606497838445,-0.05590540741365578,2.228450275454187,0.09308393068422184,0.24,locked
660,90,244,0.05414110059136751,1.100950116252022,0.3770491803278688,2.5810364852180037,0.5112781954887218,0.9210526315789473,4.385717655159406,-0.05590540741365578,2.228450275454187,0.11004650800502329,0.14666666666666667,locked
690,90,236,-0.06720904747188325,0.8833577223498907,0.3389830508474576,2.6050585840452767,0.5333333333333333,0.9254901960784314,4.323117589342508,-0.05590540741365578,2.228450275454187,-0.011303640058227468,0.49333333333333335,locked
720,90,236,-0.10920972675702907,0.8032855928406507,0.3347457627118644,2.2585738057333744,0.5254901960784314,0.9294117647058824,4.306146538346738,-0.05590540741365578,2.228450275454187,-0.05330431934337329,0.72,locked
750,90,227,-0.09658409838994574,0.8159218189861649,0.36123348017621143,2.0308781054283616,0.5137254901960784,0.9019607843137255,4.25885050466022,-0.05590540741365578,2.228450275454187,-0.040678690976289955,0.6333333333333333,locked
780,90,210,-0.19184753183959147,0.6097453941611328,0.3619047619047619,1.4476144971186944,0.4588235294117647,0.8470588235294118,4.283596539955036,-0.05590540741365578,2.228450275454187,-0.13594212442593567,1.0,locked
810,90,179,-0.1453605315519095,0.6738360689019214,0.37988826815642457,1.1447479534237277,0.4235294117647059,0.7607843137254902,4.257976399693985,-0.05590540741365578,2.228450275454187,-0.08945512413825372,0.8,locked
570,120,226,-0.0053427890377235315,0.989046327163031,0.43805309734513276,2.2903798858914004,0.462406015037594,0.849624060150376,6.181066777903831,-0.08299898866306987,2.0149225994322295,0.07765619962534634,0.24666666666666667,locked
