cfg,market,block,n,pf,pts,usd,win,ctl,p,boot_p,dd,dd_p99,amb
CONSENSUS,US100L,research,67,1.7410590291443397,57.99017366366961,115.98034732733922,0.22388059701492538,40.22706616122616,0.26,0.0745,1840.9741713268822,2610.4602901107055,0.0
CONSENSUS,US100L,LOCKED,42,1.6432231805020492,84.38252111421038,168.76504222842075,0.21428571428571427,73.53683686366648,0.4075,0.1445,2259.4441152109753,3253.4298332392664,0.0
CONSENSUS,US30L,ALL (never seen),98,1.6816711069870798,114.47676469342896,572.3838234671448,0.21428571428571427,59.90734728144507,0.145,0.0445,2932.829841638828,6519.944759956475,0.0
CONSENSUS,NQ,ALL (never seen),41,1.1586303890617404,20.337340698198844,40.67468139639769,0.21951219512195122,82.10101613140601,0.88,0.405,2528.6012884813454,3345.6372773519674,0.0
TOP ROW,US100L,research,102,1.655715792183881,59.94520828687266,119.89041657374533,0.29411764705882354,47.867647238550454,0.3025,0.0355,3194.035198972373,3488.5711394351915,0.0
TOP ROW,US100L,LOCKED,63,1.6940485497616056,95.62029566114295,191.2405913222859,0.23809523809523808,60.25012707855454,0.205,0.094,2617.737230021633,4749.614611987797,0.0
TOP ROW,US30L,ALL (never seen),165,1.7364236164762445,145.37271144925168,726.8635572462584,0.23030303030303031,59.645113761192285,0.0325,0.0095,4411.75438342167,9223.14668415625,0.0
TOP ROW,NQ,ALL (never seen),67,1.3790421145218856,55.42785759935585,110.8557151987117,0.208955223880597,78.00409255136903,0.6675,0.2075,2944.8108374155254,5565.691666996667,0.0
