cfg,market,cond,kept,n,pf,pts,base_pf,base_pts,p
TOP ROW,US100L,macd>signal,0.8363636363636363,138,1.5515723650973037,62.00608671754783,1.6741953657774604,73.56660528432133,0.772
TOP ROW,US100L,macd>0,0.9575757575757575,158,1.6123714547421375,67.49052922287903,1.6741953657774604,73.56660528432133,0.805
TOP ROW,US100L,hist rising,0.42424242424242425,70,1.3647378090424676,36.90565287057603,1.6741953657774604,73.56660528432133,0.7995
TOP ROW,US100L,macd>signal & >0,0.8121212121212121,134,1.591405471562554,66.41154026157238,1.6741953657774604,73.56660528432133,0.6755
TOP ROW,US30L,macd>signal,0.7878787878787878,130,2.0242093912537404,192.16418376383712,1.7364236164762445,145.37271144925168,0.083
TOP ROW,US30L,macd>0,0.9575757575757575,158,1.851598228680186,164.6363454872041,1.7364236164762445,145.37271144925168,0.0435
TOP ROW,US30L,hist rising,0.44242424242424244,73,1.206376241393938,45.86489400298693,1.7364236164762445,145.37271144925168,0.9075
TOP ROW,US30L,macd>signal & >0,0.7575757575757576,125,2.1530148842982224,211.52433969950587,1.7364236164762445,145.37271144925168,0.0335
TOP ROW,NQ,macd>signal,0.835820895522388,56,1.4628882430456653,68.06075429595114,1.3790421145218856,55.42785759935585,0.38
TOP ROW,NQ,macd>0,0.9701492537313433,65,1.422400534561508,61.727992620487925,1.3790421145218856,55.42785759935585,0.426
TOP ROW,NQ,hist rising,0.4626865671641791,31,1.0181851092891498,2.7610898520992673,1.3790421145218856,55.42785759935585,0.755
TOP ROW,NQ,macd>signal & >0,0.8208955223880597,55,1.493905133822304,72.40651008670682,1.3790421145218856,55.42785759935585,0.329
CONSENSUS,US100L,macd>signal,0.7522935779816514,82,1.5568338139142655,55.83832575294225,1.6909269121585269,68.1597020391073,0.6995
CONSENSUS,US100L,macd>0,0.981651376146789,107,1.5896174048027198,57.80473263693832,1.6909269121585269,68.1597020391073,0.9355
CONSENSUS,US100L,hist rising,0.5504587155963303,60,1.8957045228366527,90.82879879252336,1.6909269121585269,68.1597020391073,0.2685
CONSENSUS,US100L,macd>signal & >0,0.7339449541284404,80,1.4188976744052169,41.68051977038709,1.6909269121585269,68.1597020391073,0.8635
CONSENSUS,US30L,macd>signal,0.7346938775510204,72,1.697909929394135,119.76010642544391,1.6816711069870798,114.47676469342896,0.471
CONSENSUS,US30L,macd>0,0.9591836734693877,94,1.5812998759198527,97.95955391189965,1.6816711069870798,114.47676469342896,0.8555
CONSENSUS,US30L,hist rising,0.4489795918367347,44,1.5857305164012823,92.55131019739896,1.6816711069870798,114.47676469342896,0.602
CONSENSUS,US30L,macd>signal & >0,0.7040816326530612,69,1.5483167028678413,94.18153288851317,1.6816711069870798,114.47676469342896,0.671
CONSENSUS,NQ,macd>signal,0.6829268292682927,28,0.8706028795594208,-18.355191117591353,1.1586303890617404,20.337340698198844,0.821
CONSENSUS,NQ,macd>0,0.9512195121951219,39,1.266637410104766,32.87310380657113,1.1586303890617404,20.337340698198844,0.0655
CONSENSUS,NQ,macd>signal & >0,0.6341463414634146,26,0.981347258462828,-2.527895056247554,1.1586303890617404,20.337340698198844,0.6825
