market,cfg,mine_n,vbt_n,ratio,mine_pts,vbt_pts,gap
US100L,CONSENSUS,109,55,0.5045871559633027,68.1597020391073,-1.811500845835394,-0.026577299953512525
US30L,CONSENSUS,98,20,0.20408163265306123,114.47676469342896,-4.96485223479492,-0.0433699558866019
NQ,CONSENSUS,41,40,0.975609756097561,20.337340698198844,-2.243858078256552,-0.11033193137465003
US100L,TOP ROW,165,56,0.3393939393939394,73.56660528432133,-1.7852010854214424,-0.02426646001296336
US30L,TOP ROW,165,20,0.12121212121212122,145.37271144925168,-4.9956967569154695,-0.0343647491135874
NQ,TOP ROW,67,44,0.6567164179104478,55.42785759935585,-2.2721475195482386,-0.040992880077952785
