cfg,market,mine_n,vbt_n,mine_pts,vbt_pts
CONSENSUS,US100L,109,48,68.1597020391073,-2.0710892027083054
CONSENSUS,US30L,98,20,114.47676469342896,-4.999618810548741
CONSENSUS,NQ,41,41,20.337340698198844,-2.2170803792434173
TOP ROW,US100L,165,59,73.56660528432133,-1.6944098849804707
TOP ROW,US30L,165,20,145.37271144925168,-4.913131028265281
TOP ROW,NQ,67,45,55.42785759935585,-2.196167753201436
