cfg,block,rule,ctl,p
"shipped (3 sessions, RR 0.8)",research,-0.016249980328038798,-0.018365538984025587,0.385
"shipped (3 sessions, RR 0.8)",LOCKED,0.0054149170844024165,-0.011240619120250227,0.005
"NY only, RR 0.8",research,-0.013834161450774126,-0.01000414016662962,0.65
"NY only, RR 0.8",LOCKED,0.05895354548211865,0.0005218204587742433,0.0
"NY only, RR 3.0",research,-0.0037481753765150672,-0.00548912686284346,0.435
"NY only, RR 3.0",LOCKED,0.07171582751554455,0.00862375335746968,0.005
