ok,n,nl,rr,sess,r_tot,r_pf,r_pct,r_win,l_tot,l_pf,l_pct,rng_min,rng_max,pen,cloc,pmax,plook,d_Mon,d_Tue,d_Wed,d_Thu,d_Fri
0,39,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,
1,182,245.0,0.40199959807924707,asia+ny,-2.693220975234544,0.9318431345611979,-0.014797917446343673,0.6648351648351648,6.615301672387968,1.2019926998452442,0.027001231315869272,36.34702387134854,138.1720296891637,32.4210854174452,52.58793972418042,60.41657131130971,37.0,Both,Long,Off,Both,Short
1,177,206.0,3.019283648537732,ny,4.39561025498687,1.0982533638239327,0.024833956242863664,0.5028248587570622,4.354174807998685,1.0952101867307826,0.021136770912614976,25.143522873710523,90.7706570235773,44.55777076269656,25.92071733949219,57.370447543085355,68.0,Short,Short,Short,Long,Long
0,38,,,,,,,,,,,,,,,,,,,,,
0,44,,,,,,,,,,,,,,,,,,,,,
0,7,,,,,,,,,,,,,,,,,,,,,
1,620,366.0,2.1660971710894485,ny,3.0857781770434105,1.017328397272971,0.004977061575876446,0.41451612903225804,7.407960715291691,1.0778609636955991,0.020240329823201328,1.1571386278014302,189.1506586787487,2.02577561634833,52.789560649959796,98.64153352916017,13.0,Short,Short,Short,Short,Long
1,619,366.0,2.2413379086550678,ny,3.4901089801282414,1.0197857252716689,0.005638302068058531,0.4168012924071082,6.42663725293834,1.0676349854823504,0.017559118177427148,1.5831305051250315,185.03206161415196,0.6183315655557351,52.894057336301245,98.73974003399655,13.0,Short,Short,Short,Short,Long
1,501,321.0,4.959353773153981,ny,0.7816159436981555,1.0050325178838901,0.0015601116640681818,0.4171656686626746,-7.2522107277177845,0.9167688640587301,-0.022592556784167515,12.946618307423813,192.5579574612888,7.70039617605043,40.15393617841806,90.46402059114364,10.0,Short,Short,Short,Short,Long
1,634,345.0,2.22243463474844,ny,12.171482778219136,1.0749398805994077,0.019197922363121653,0.4889589905362776,2.7809179968879043,1.0308841759821574,0.008060631875037399,3.779310012456956,122.91061391227262,15.482387319870151,61.96587638187256,99.90512569892098,58.0,Short,Off,Both,Long,Long
0,0,,,,,,,,,,,,,,,,,,,,,
1,357,302.0,3.0262760424109687,ny,11.652056809224561,1.134962466147031,0.032638814591665434,0.5378151260504201,5.412450215262641,1.0693590939113844,0.017922020580339898,17.79681795694955,113.95099011704293,45.86966491357799,1.472106855488498,77.96381114251187,60.0,Long,Off,Both,Long,Long
1,1001,819.0,1.771573438209077,asia+london+ny,15.967298717352197,1.087363821476154,0.0159513473699822,0.4775224775224775,-10.485534544621979,0.9225438769168206,-0.012802850481833918,12.053625344572232,141.61918101197801,19.332996799027782,2.9119278485639106,80.28082485049498,52.0,Long,Off,Both,Long,Long
1,1770,1034.0,1.58467132228776,asia+london+ny,6.842457631925676,1.0278911637983545,0.003865795272274407,0.46440677966101696,-11.76272110625063,0.9224823729800647,-0.011375939174323637,0.32207290571588043,146.0061444522551,17.52440220956085,0.3808142784078754,84.09251825128733,52.0,Long,Off,Both,Long,Long
1,1305,1013.0,1.5543446390328024,asia+london+ny,22.10869226082975,1.090041165961491,0.01694152663665114,0.48582375478927203,-5.978891411036582,0.9627253266391127,-0.005902163288288822,12.00937553290732,140.27769010262583,16.633879366695727,68.17774707614021,98.76687708431973,42.0,Long,Off,Both,Long,Long
1,913,796.0,1.3887774030045574,asia+london+ny,28.74667718959484,1.1672518635392415,0.03148595530076108,0.5027382256297919,0.7513607804323633,1.0056497858452285,0.0009439205784326138,15.228592260611302,154.42204560318746,18.87975036626964,71.84510056597287,77.75570940451473,38.0,Long,Off,Both,Long,Both
1,201,268.0,1.2083767562038759,asia+london+ny,11.399677229916435,1.1725770983803818,0.056714812089136465,0.5472636815920398,13.452487049966749,1.2009871320135992,0.05019584720136847,56.56935834971972,160.5372529617092,19.25163236861471,71.9646578182584,76.89911554947014,33.0,Long,Both,Both,Long,Both
1,864,762.0,1.504585953527511,asia+london+ny,35.02695723866964,1.2177856100144575,0.0405404597669787,0.5081018518518519,-4.268601518632538,0.9676480822209986,-0.005601839263297286,15.381990517724557,153.1843132535121,19.512411408452053,75.61090956985254,74.93691353371925,42.0,Long,Off,Both,Long,Both
1,758,678.0,1.395569755331785,asia+london+ny,25.78589761283971,1.1575292421987176,0.034018334581582745,0.5065963060686016,5.353078361559626,1.0436416764264727,0.007895395813509785,19.151419668395235,154.65806045854643,15.148302526679254,73.35927503057952,79.9404952077242,38.0,Long,Off,Both,Long,Both
1,538,506.0,1.1984525108219344,asia+london+ny,16.82090644499668,1.1454911121597566,0.03126562536244736,0.5241635687732342,11.77989819656743,1.124555723338155,0.023280431218512723,22.446811937926263,161.97782071856537,11.739900483223197,78.4052738574125,71.74972481985031,34.0,Long,Off,Both,Long,Both
1,823,741.0,1.3469976868762763,asia+london+ny,31.390651412999233,1.1898619636884193,0.038141739262453504,0.49696233292831105,11.10786659715881,1.0848243022579214,0.014990373275517983,17.799103179204394,164.7079572239032,25.543911585959467,75.7407164133599,73.04349278453148,34.0,Long,Off,Both,Both,Both
1,290,285.0,0.346009893389299,asia+london+ny,0.07709452898066638,1.0020270861890972,0.00026584320338160207,0.6862068965517242,-4.263908945847736,0.8755249445361404,-0.014961084020518375,17.334720470820585,187.4401491201492,28.892099154931074,88.88054012370186,34.75549162156278,32.0,Long,Off,Both,Both,Both
1,359,382.0,1.2242350474539605,london+ny,27.304968777427234,1.32193007277954,0.07605840885077224,0.5459610027855153,7.671231558905632,1.0869849684071557,0.020081758007606348,30.16494041648613,160.50993490314787,29.565144894871263,69.59527735078466,67.02601195675406,34.0,Long,Off,Both,Both,Both
1,869,660.0,1.5233413604000867,asia+ny,17.910675763919542,1.0949929339050388,0.020610674066650805,0.4718066743383199,25.560345319698786,1.2113619473244617,0.03872779593893757,14.952758926305266,199.4275692802314,25.38173812175078,73.74293238462641,70.27457466447588,43.0,Both,Both,Long,Both,Both
1,537,479.0,2.1120750939050015,asia+london+ny,5.150685564950231,1.0448881266174745,0.009591593230819808,0.441340782122905,1.131223719956565,1.0132471836103403,0.00236163615857321,15.79475166756766,152.76402724241095,24.124923752073986,63.739619200500115,52.421183954184876,28.0,Off,Off,Both,Both,Both
0,68,,,,,,,,,,,,,,,,,,,,,
1,320,268.0,1.6126831834949407,asia+london+ny,18.675756474590898,1.3411636239041334,0.058361738983096566,0.48125,-5.372622601689717,0.8666230944223905,-0.020047099260036255,11.53256419710123,160.08402767901865,21.248004382292272,69.8248960288978,33.69124077328423,25.0,Long,Off,Both,Off,Short
1,320,366.0,1.1480127794872166,london+ny,38.79872929042836,1.5466321938410208,0.1212460290325886,0.578125,10.747978082222234,1.127423652427606,0.029366060333940545,33.72277308343032,159.18009558268147,29.594775286987364,72.82478990946797,68.56553179030428,33.0,Long,Off,Both,Both,Both
1,271,329.0,1.1611606835312078,london+ny,26.028190070670888,1.375248577854213,0.09604498181059366,0.5719557195571956,9.128332733644807,1.1141027223871403,0.027745692199528268,40.93731049771796,162.242821187961,27.69693986136148,76.69237467993241,71.12021181048061,37.0,Long,Off,Both,Both,Both
1,411,384.0,0.8964029169721626,london+ny,11.44146500820171,1.1212068648204672,0.027838114375186643,0.5328467153284672,11.883683801292218,1.1533792732739607,0.030947093232531846,25.733930240387878,155.57284337505973,31.25092113660571,79.27839451809449,62.715399568764546,28.0,Off,Both,Long,Both,Both
1,570,522.0,0.8911382045784368,london+ny,28.05322556022412,1.2342240217581961,0.04921618519337567,0.5561403508771929,12.306438832225439,1.1184501448142272,0.02357555331843956,24.02885808346127,161.986393111487,25.152690469145703,78.81896485366134,76.16955559020636,44.0,Long,Off,Both,Both,Both
0,0,,,,,,,,,,,,,,,,,,,,,
1,433,410.0,0.566984382094847,asia+london+ny,3.6778671692444105,1.043658966922156,0.008493919559455913,0.5866050808314087,-9.632317363860261,0.8669134242809369,-0.023493456985025023,21.31035336208096,136.22004309901664,36.93668585731846,87.35556840737091,74.27358443062259,27.0,Long,Off,Both,Both,Off
1,206,298.0,1.7429094836803198,asia+ny,16.300588189243598,1.290773064446136,0.07912906887982332,0.5485436893203883,25.37680246207681,1.41573523478912,0.08515705524186849,39.73681487646471,131.51731985682835,13.259587658190545,62.208040208202526,62.559471397010164,45.0,Both,Both,Off,Long,Both
