feat,mean,scale,coef,absw
vol.park,0.0020496217473863045,0.001636224547358665,-0.4171691837962997,0.4171691837962997
tod.park,1.8184137197454167,1.5959989494006088,-0.40005155944206566,0.40005155944206566
tod.rng,2.0577732057681764,1.6365208357699874,0.3719163286492336,0.3719163286492336
vol.gk,0.0018373986299728292,0.0014059347339993875,0.16030031699606193,0.16030031699606193
tod.atr,1.5263068596542497,0.9782405138704932,0.15884961871883516,0.15884961871883516
mom.roc4,0.028925766285451654,0.7307015825385796,-0.1412506670388522,0.1412506670388522
vol.rv26,0.0017406213069407629,0.001380881132163647,0.1393804724913515,0.1393804724913515
vol.vov,0.0004722714338178312,0.00042429304375855853,-0.1336949069145819,0.1336949069145819
d_vah,-0.685864222368834,3.1753433111396046,-0.10462953195088269,0.10462953195088269
vol.rng_atr,1.4271007011761352,0.583677709108525,0.1015912192180094,0.1015912192180094
mom.d_ema78,0.6992670446848226,3.354433265132386,0.0904627990939547,0.0904627990939547
mom.d_ema250,2.228642709772871,6.1660818340538635,-0.08106627789581773,0.08106627789581773
dev_pos,0.6490356929633024,0.3609725963433129,0.07391534817440586,0.07391534817440586
d_poc,0.32896518952803455,3.253174674923032,0.07169038077454287,0.07169038077454287
mom.roc26,0.051358223285092014,1.0805291347945722,0.06165923139929025,0.06165923139929025
hvn_up,1.2262849979467771,1.1653017469082585,-0.05539567425106788,0.05539567425106788
vol.atr_rank,0.6155505547187873,0.2912174067562467,-0.05438945524779162,0.05438945524779162
stack20,0.7786052809749492,1.0507127306267667,0.05135565180441012,0.05135565180441012
vol.atr_ratio,1.1782975694217432,0.35548746328168956,0.04643089691687828,0.04643089691687828
p_bull,0.23561272850372375,0.4243811620121165,0.04217907254300377,0.04217907254300377
p_nlvn,11.421800947867299,8.19763568840489,-0.039973294034306876,0.039973294034306876
dev_poc,0.16595299224258941,1.5213758872916778,-0.03959536361795475,0.03959536361795475
p_cpos,0.5375392638080814,0.29907714421236303,-0.0379863275835177,0.0379863275835177
vol.rv78,0.0018022042650416516,0.001319456294902755,0.03110824849944324,0.03110824849944324
mom.roc78,0.049090578827862316,1.880765357899442,0.029689588864954226,0.029689588864954226
d_val,1.478609525525947,3.344646507616261,-0.027431394270731706,0.027431394270731706
tod.tv,1.616293116187516,1.0689545339875173,0.02377316202284448,0.02377316202284448
below_va,0.3392010832769127,0.4734381779923137,-0.022177356308149012,0.022177356308149012
above_va,0.4245091401489506,0.49426827743539153,0.02081993144467865,0.02081993144467865
p_nhvn,6.807041299932295,4.895938568736614,-0.020488446346336238,0.020488446346336238
mom.rsi14,51.7185253455045,17.404085281158594,0.01930965979630668,0.01930965979630668
hvn_dn,1.495496753259633,1.3470294266919247,0.016447566201854343,0.016447566201854343
lvn_up,1.1579691621946375,1.1531273297784461,0.007380194260571916,0.007380194260571916
lvn_dn,1.4352489302883407,1.3796238206248237,0.005169608529630461,0.005169608529630461
p_vaw,0.46231846643197794,0.10881122569942381,0.00459025324331452,0.00459025324331452
p_pocpos,0.5357536920816539,0.19907741792393885,0.0036893798413337444,0.0036893798413337444
mom.d_ema26,0.25237769277929123,2.319845003947079,-0.0033547723876335292,0.0033547723876335292
stack5,0.35003385240352064,0.5979158670702482,0.0022768414038224455,0.0022768414038224455
p_bear,0.2132701421800948,0.40961688030960947,0.0007534261444741304,0.0007534261444741304
inside_va,0.23628977657413677,0.4248022105176494,0.0004919360270789003,0.0004919360270789003
