,ret
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-03,-0.03830512363760618
2022-01-04,-0.007135062084091105
2022-01-05,-0.47165547482283293
2022-01-06,-0.06746924059220716
2022-01-07,0.0
2022-01-10,-0.35844188817707223
2022-01-11,-0.012025237484452538
2022-01-12,-0.10948432972748923
2022-01-13,-0.11610262521426629
2022-01-14,-0.061086282836197936
2022-01-17,0.0
2022-01-18,-0.23105839292910135
2022-01-19,-0.1518199848750767
2022-01-20,-0.33009715651428595
2022-01-21,-0.18254251243762443
2022-01-24,0.02031411174616065
2022-01-25,0.0082060164287764
2022-01-26,-0.12528912715216825
2022-01-27,0.18657586724158304
2022-01-28,0.05202500348860717
2022-01-31,0.3865387208865463
2022-02-01,0.038264264244878575
2022-02-02,0.039044521436720374
2022-02-03,-0.06297084174309849
2022-02-04,-0.024662602719586396
2022-02-07,0.0994984200588811
2022-02-08,-0.0788876920919768
2022-02-09,0.025271122337000174
2022-02-10,-0.3386594206329424
2022-02-11,0.11482663641490312
2022-02-14,0.13021265442891963
2022-02-15,-0.028492863509897368
2022-02-16,-0.16303414663527319
2022-02-17,-0.17617107882913755
2022-02-18,-0.1529891135687788
2022-02-21,-0.020557653397963713
2022-02-22,-0.07070888915719076
2022-02-23,0.42857689800065346
2022-02-24,0.08026420612865408
2022-02-25,0.4073525631165767
2022-02-28,-0.21220263832835481
2022-03-01,0.047963059506963585
2022-03-02,0.007911647204311933
2022-03-03,-0.30682502634381126
2022-03-04,-0.07509063496175525
2022-03-07,0.6229492767515578
2022-03-08,-0.19365604962759364
2022-03-09,0.0815024078903094
2022-03-10,-0.011185441172595165
2022-03-11,0.5759700180672481
2022-03-14,0.07973176333923016
2022-03-15,0.02333912272564089
2022-03-16,-0.013840015312357368
2022-03-17,0.13692711295173116
2022-03-18,0.17572661849564192
2022-03-21,-0.010394560180172378
2022-03-22,-0.013505311381825551
2022-03-23,0.27761372372772125
2022-03-24,0.07666028528909
2022-03-25,-0.01580755026082458
2022-03-28,-0.08186836770598192
2022-03-29,-0.03420075506798355
2022-03-30,-0.01899371644934367
2022-03-31,0.20356750404490814
2022-04-01,-0.010374931402363112
2022-04-04,0.26062125199714814
2022-04-05,-0.442712708063774
2022-04-06,-0.04793167615882226
2022-04-07,-0.054409851998453135
2022-04-08,-0.21639816028593928
2022-04-11,0.21265375394538613
2022-04-12,-0.35650113743195283
2022-04-13,0.046020181787359796
2022-04-14,0.39439403465598855
2022-04-18,-0.05376865428252685
2022-04-19,0.1473832387078457
2022-04-20,-0.2712617049533851
2022-04-21,-0.2642984133056677
2022-04-22,0.39682557236944965
2022-04-25,0.19946042284534982
2022-04-26,0.7688546537176476
2022-04-27,-0.04514242358386533
2022-04-28,0.13721723874849945
2022-04-29,0.6678775800685676
2022-05-02,0.028362686408005003
2022-05-03,-0.13904502140866026
2022-05-04,-0.09013122818103278
2022-05-05,0.4809259285798433
2022-05-06,0.015710373319511205
2022-05-09,-0.19105204716443228
2022-05-10,0.22679242645240125
2022-05-11,0.10747527867082202
2022-05-12,0.003379776375116394
2022-05-13,-0.025152805797084843
2022-05-16,-0.1521933930406077
2022-05-17,-0.13205652712887622
2022-05-18,0.9309170212626765
2022-05-19,0.13778555198762404
2022-05-20,0.0
2022-05-23,-0.04489760072067584
2022-05-24,-0.10273767627854087
2022-05-25,-0.12602988007134908
2022-05-26,0.4491912022924017
2022-05-27,0.40272885130190617
2022-05-30,-0.04772063324333553
2022-05-31,0.0837644527622798
2022-06-01,0.0
2022-06-02,0.13965425819734992
2022-06-03,0.0455650880200989
2022-06-06,-0.11628124676737703
2022-06-07,0.0
2022-06-08,-0.1680464575407658
2022-06-09,-0.6214082391361551
2022-06-10,-0.42082557812245275
2022-06-13,0.191204210020265
2022-06-14,-0.012194206796649551
2022-06-15,-0.07609622550444807
2022-06-16,-0.036000621184597154
2022-06-17,-0.07804502567655733
2022-06-20,-0.011258650948706912
2022-06-21,0.00950874325336435
2022-06-22,-0.11517107016626818
2022-06-23,0.026747915727365963
2022-06-24,0.39758293545087364
2022-06-27,0.10493352881556237
2022-06-28,-0.0996762156154787
2022-06-29,-0.11014657035961209
2022-06-30,0.01865030674846626
2022-07-01,-0.05729802258076906
2022-07-04,0.015899834525994652
2022-07-05,0.07135276495493477
2022-07-06,-0.07207866170394178
2022-07-07,0.06422353206496996
2022-07-08,0.022452972306387667
2022-07-11,-0.33486668681280324
2022-07-12,-0.11234270181933682
2022-07-13,0.11668791777752144
