time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2023-09-08 10:15:00,1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,50.10757558600385,100.0,125.0,1.25,0.0,hv,-4.678395735571161,-55.68713697625904,-116.30025081620366,62.62660846243939,12.880966352339929,7.910051415334074,1.0,2.0,50.10757558600385,8.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844384,-0.5000000000000004
2023-09-11 10:15:00,-1,stop,-90.75,-184.0,-1.0,1,parent_no_condition,control,40.81862455310644,90.75,271.75,0.75,0.1,ct,-74.13392300277933,-1.843056638548557,140.86869025658254,-49.42949530633456,23.344596467088643,19.45388161326278,-1.0,2.0,40.81862455310644,13.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004
2023-09-12 10:00:00,1,stop,-73.75,-300.0,-1.0,2,rc1_direct,direct,33.209501294607676,73.75,221.25,1.25,0.0,base,-37.16585790019877,90.28642590286351,-25.460242851547132,222.215850441565,16.9925060264986,13.217097862767702,1.0,1.0,33.209501294607676,4.0,0.9510565162951535,0.30901699437494745,-0.8660254037844384,-0.5000000000000004
2023-09-13 10:16:00,1,close1600,80.0,157.5,0.9411764705882353,1,intraday_reverse,h2cap,38.464801877987384,85.0,255.0,1.25,0.0,base,-3.8251211288353737,90.13309372718604,134.17940905151914,-20.584602717168554,24.530043838092432,31.23454172849982,-1.0,2.0,38.464801877987384,9.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844384,-0.5000000000000004
2023-09-14 10:00:00,-1,stop,-70.25,-143.0,-1.0,1,rc1_direct,direct,31.669399618559673,70.25,211.0,0.75,0.1,ct,-35.29827038475153,-27.75064067167987,20.0093000972279,-139.87515748482338,15.387697287037039,21.82453077258839,-1.0,1.0,31.669399618559673,9.0,-0.587785252292473,-0.8090169943749476,-0.8660254037844384,-0.5000000000000004
2023-09-15 10:00:00,-1,target,125.0,247.5,1.25,1,parent_no_condition,control,59.51793295065089,100.0,125.0,1.25,0.0,hv,37.864976299329946,-60.953240962835494,-109.02079759558703,-305.37771161822656,29.960410546399086,16.822165677127245,-1.0,1.0,59.51793295065089,11.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844384,-0.5000000000000004
2023-09-18 11:45:00,1,cond1530,-36.75,-76.0,-0.3675,1,parent_no_condition,control,52.4515393386545,100.0,125.0,1.25,0.0,hv,-27.35081696320418,-157.3169192804358,-49.46986448942536,241.6001634010767,19.85643655860958,21.365086599818284,1.0,8.0,52.4515393386545,9.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004
2023-09-19 10:00:00,-1,stop,6.25,10.0,0.1016260162601626,1,rc1_direct,direct,28.143460217004648,61.5,184.75,0.75,0.1,ct,32.88677552996111,-2.2783908864365543,148.80368012117452,-271.5547496490411,15.047516053273702,18.5740820117164,-1.0,1.0,28.143460217004648,8.0,0.9510565162951535,0.30901699437494745,-0.8660254037844384,-0.5000000000000004
2023-09-20 11:00:00,-1,cond1530,115.75,229.0,1.6654676258992807,1,parent_no_condition,control,31.61717581713309,69.5,208.0,0.75,0.1,ct,-25.09911297452927,27.022414381613345,65.73541495480728,-109.27858831670578,16.970668237222817,4.707963591747966,-1.0,5.0,31.61717581713309,9.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844384,-0.5000000000000004
2023-09-21 10:01:00,1,stop,5.75,9.0,0.10176991150442478,1,prior_session_reverse,h5,26.386955222357475,56.5,169.75,0.75,0.1,ct,99.69369473501688,129.492298916144,227.74444052241495,8.228789213068355,25.42974368153206,32.80457222837762,-1.0,1.0,26.386955222357475,14.0,-0.587785252292473,-0.8090169943749476,-0.8660254037844384,-0.5000000000000004
