finalist,block,n,R,totR,pf,win,ret_dd,ctl_R,p_ctl,boot_p
totR,research,296,0.19484866041726553,57.6752034835106,1.3431608062825462,28.37837837837838,3.0471327721866777,-0.285299442387123,0.0,0.027
totR,LOCKED,160,0.20002062946608223,32.00330071457316,1.375310802267358,33.125,1.7955451203591206,-0.125051799690226,0.02,0.079
pf,research,135,0.20351084176933448,27.473963638860155,1.8793753792867547,40.74074074074074,6.828527625503731,-0.06125362492004445,0.005,0.008
pf,LOCKED,79,0.1819308742509889,14.372539065828121,1.6698868601780799,39.24050632911392,2.154309150673815,-0.014641508167971898,0.0125,0.072
retdd,research,175,0.24893263059807927,43.56321035466387,1.6685820165460847,39.42857142857143,10.06329823031825,-0.16715662968412248,0.0,0.0035
retdd,LOCKED,95,0.10967487988944562,10.419113589497334,1.2519766850874783,35.78947368421053,0.8535013921011674,-0.08803134878338431,0.0325,0.2135
as published,research,378,-0.044737140399948874,-16.910639071180675,0.9156344713371647,26.71957671957672,-0.7206877740781912,-0.247981364327871,0.0025,1.0
as published,LOCKED,214,0.14230500314214972,30.45327067242004,1.3176970906722665,34.57943925233645,1.6972017626738196,-0.14820572808980298,0.0,0.081
