param,value,n,R,pf,spec
ema_slow,100.0,365,0.0026856059459936833,1.0051811413652079,False
ema_slow,150.0,376,-0.02515402984132805,0.952422098252044,False
ema_slow,200.0,378,-0.044737140399948874,0.9156344713371647,True
ema_slow,250.0,373,-0.05396639426640803,0.8992571245869442,False
ema_slow,300.0,370,-0.04885944768698435,0.9083795921121245,False
ema_pull,20.0,512,-0.1463118367771823,0.7262264523763128,False
ema_pull,34.0,426,-0.11950569922003365,0.7771470000342162,False
ema_pull,50.0,378,-0.044737140399948874,0.9156344713371647,True
ema_pull,70.0,334,-0.015248014632408447,0.9713284736605707,False
ema_pull,100.0,305,-0.03571726923872032,0.9358798762942099,False
ema_tight,10.0,378,-0.044050828022567,0.9169287227360703,False
ema_tight,20.0,378,-0.044737140399948874,0.9156344713371647,True
ema_tight,34.0,378,-0.044737140399948874,0.9156344713371647,False
atr_len,7.0,356,-0.042161715219185124,0.9164973167774823,False
atr_len,14.0,378,-0.044737140399948874,0.9156344713371647,True
atr_len,21.0,385,-0.061480957839576335,0.88753149669308,False
atr_stop,0.25,382,-0.0826097572831515,0.8647280682839963,False
atr_stop,0.5,378,-0.044737140399948874,0.9156344713371647,True
atr_stop,0.75,374,-0.023339270056927226,0.950166247623865,False
atr_stop,1.0,373,-0.01657147489890958,0.960654323497612,False
atr_stop,1.5,372,-0.009512464197890756,0.9717880691114219,False
vol_mult,1.0,413,-0.06781310530443704,0.8725885717666417,False
vol_mult,1.1,378,-0.044737140399948874,0.9156344713371647,True
vol_mult,1.3,275,0.014343062800014088,1.0274857483398243,False
vol_mult,1.5,190,0.14394166931303448,1.3035780318397145,False
vol_mult,2.0,59,0.37449807663481616,1.9000097387347568,False
range_mult,0.5,399,-0.062342351114022636,0.8856934483046816,False
range_mult,0.8,378,-0.044737140399948874,0.9156344713371647,True
range_mult,1.0,337,-0.05541777627986822,0.893444502212317,False
range_mult,1.3,242,-0.009872399925741904,0.978617222618568,False
wick_body,1.0,408,-0.05638687585501136,0.8949623081447461,False
wick_body,1.5,391,-0.029030561788460113,0.945267173003385,False
wick_body,2.0,378,-0.044737140399948874,0.9156344713371647,True
wick_body,3.0,374,-0.03342170934614724,0.9362369730487353,False
target_R,1.5,380,-0.061914505414725665,0.8742137541503114,False
target_R,2.0,378,-0.03894773658464864,0.9249576989754442,False
target_R,3.0,378,-0.044737140399948874,0.9156344713371647,True
target_R,4.0,377,-0.02790113283721695,0.9472557946001857,False
target_R,5.0,376,-0.008652182620326222,0.9837013414146996,False
target_R,99.0,375,-0.050465159706268005,0.9051884471026456,False
