cell,block,n,R,totR,pf,win,ret_dd,ctl_R,p_ctl,boot_p,share_2025
TOP ROW,research,103,0.41835968528359035,43.091047584209804,1.879473192997395,36.89320388349515,6.287174722992107,-0.3534001235246724,0.005,0.012,0.0
TOP ROW,LOCKED,61,0.22430832306704643,13.682807707089832,1.430801423952876,37.704918032786885,0.7570773521371063,-0.2188539608652936,0.04,0.156,61.79412966066707
NEIGHBOURHOOD-BEST,research,92,0.19208128674653094,17.671478380680846,1.3559669884081296,34.78260869565217,1.5003484070890374,-0.35880582845645703,0.03,0.1685,0.0
NEIGHBOURHOOD-BEST,LOCKED,53,0.26239861020534283,13.90712634088317,1.4676067487849096,35.84905660377358,0.6909537972695123,-0.20874235695361734,0.105,0.1845,74.46292402621364
