,As published,Optuna totR,Optuna PF,Optuna retDD,Sweep top row,Sweep nbhd,GOLD (log ret)
As published,1.0,0.4661259283459512,0.370625790262652,0.5593205323171143,0.5859088315358937,0.5273734946915116,0.2229926081632727
Optuna totR,0.4661259283459512,1.0,0.23634533397363186,0.3859823416778232,0.38497690330566187,0.4292028015470853,0.2777170439555452
Optuna PF,0.370625790262652,0.23634533397363186,1.0,0.6539570918257861,0.6133423640574999,0.5461673868187807,0.26315229590902567
Optuna retDD,0.5593205323171143,0.3859823416778232,0.6539570918257861,1.0,0.7119517666041842,0.6456887962453978,0.30144569631639406
Sweep top row,0.5859088315358937,0.38497690330566187,0.6133423640574999,0.7119517666041842,1.0,0.9141808646127423,0.24075841339033988
Sweep nbhd,0.5273734946915116,0.4292028015470853,0.5461673868187807,0.6456887962453978,0.9141808646127423,1.0,0.2201333708947946
GOLD (log ret),0.2229926081632727,0.2777170439555452,0.26315229590902567,0.30144569631639406,0.24075841339033988,0.2201333708947946,1.0
