preset,fitted,folds,IS,OOS,gap,OOS_pos,corr
As published,no,13,0.007788145187428481,-0.0012298860361652701,0.009018031223593752,8/13,-0.4340619597467707
Optuna totR,YES,13,0.20290829580997338,0.22555195759023855,-0.022643661780265167,10/13,-0.05209039380452903
Optuna PF,YES,11,0.19507700896122887,0.2026986977432532,-0.007621688782024322,10/11,-0.15027898122876981
Optuna retDD,YES,12,0.2127293113670278,0.15027859923647482,0.06245071213055298,9/12,0.017380743727249928
Sweep top row,YES,7,0.3472088314151937,0.08128083818877128,0.2659279932264224,4/7,0.039582388806738256
Sweep neighbourhood,YES,5,0.22706751788351448,-0.05825025020557304,0.28531776808908754,2/5,-0.40675877522795684
