preset,signals,trades,trades_per_yr,pct_of_RTH_bars,locked_trades,median_hold_bars,win
As published,727,592,37.19371727748691,0.6935897802837326,214,7.0,29.56081081081081
Optuna totR,550,456,28.649214659685864,0.5247240428556437,160,11.0,30.043859649122805
Optuna PF,246,214,13.445026178010473,0.23469475371361515,79,22.0,40.18691588785047
Optuna retDD,315,270,16.963350785340314,0.3005237699991414,95,9.0,38.148148148148145
Sweep top row,177,164,10.30366492146597,0.16886573742808894,61,14.0,37.19512195121951
Sweep nbhd,158,145,9.109947643979059,0.15073890685671218,53,15.0,35.172413793103445
