feed,side,block,n,R,pct,pf,win,totR,dd,ret_dd
US100,LONG,research,502,-0.012059093748126196,0.014137838598427075,0.978350533328941,28.286852589641438,-6.05366506155935,36.574543982079845,-0.16551580423054404
US100,LONG,LOCKED,269,-0.018441506221668534,-0.00844871463628447,0.9658985219497852,27.509293680297397,-4.960765173628836,20.379518693276033,-0.24341915274307133
US100,SHORT,research,357,0.017403275800354154,-0.012273307253360824,1.0320451941527726,28.291316526610643,6.212969460726432,23.860205896713687,0.26039043785377214
US100,SHORT,LOCKED,225,-0.1508953874818217,-0.05294895067963491,0.7140120266762896,24.88888888888889,-33.95146218340989,36.622679808113645,-0.9270611097085266
US30,LONG,research,333,0.19754138232805452,0.015132491926866883,1.4017464386357072,31.53153153153153,65.78128031524216,9.529079960215313,6.9032142231867475
US30,LONG,LOCKED,177,-0.07620996809027629,-0.0073449756684547405,0.8591580192284376,28.24858757062147,-13.489164351978904,21.028156069024828,-0.6414810841093619
US30,SHORT,research,293,-0.17674097782653306,-0.031077813270983443,0.7051534221233783,22.866894197952217,-51.785106503174184,52.59687072195879,-0.9845663019939759
US30,SHORT,LOCKED,187,-0.04280447008363622,0.0022742954861589624,0.9162889038150278,26.203208556149733,-8.004435905639973,20.465076968828356,-0.3911265966813627
US30_ISO,LONG,research,111,0.0051816077020352186,0.01531394450854866,1.0103677151232808,36.03603603603604,0.5751584549259092,13.129554214814124,0.043806396280915295
US30_ISO,LONG,LOCKED,57,0.1099324642766561,0.015462949934684988,1.2236931232113473,28.07017543859649,6.266150463769398,8.399509274479877,0.74601387521623
US30_ISO,SHORT,research,126,0.02692424441576329,-0.017312808970826724,1.052340403524371,30.952380952380953,3.392454796386174,11.612952558379561,0.2921268109321845
US30_ISO,SHORT,LOCKED,49,-0.2000716011272576,-0.09349311865928338,0.6001393396091851,26.53061224489796,-9.803508455235622,14.120861821919169,-0.6942570913071385
