feed,side,block,vol_mult,keep_pct,n,R,pct,pf,ctl_R,p_ctl
US30_ISO,LONG,whole,1.3,55.6,150,-0.0129,0.0,0.976,0.0195,0.727
US30_ISO,LONG,whole,1.6,43.9,122,-0.1021,-0.0371,0.82,0.0487,0.94
US30_ISO,LONG,whole,2.0,35.3,100,-0.0245,-0.0173,0.955,0.0427,0.693
US30_ISO,LONG,whole,2.4,29.2,83,0.0542,-0.004,1.105,0.0562,0.507
US30_ISO,SHORT,whole,0.8,91.0,218,-0.0927,-0.0442,0.825,-0.116,0.407
US30_ISO,SHORT,whole,1.0,78.3,187,-0.0773,-0.0475,0.856,-0.1125,0.28
US30_ISO,SHORT,whole,1.1,73.7,177,-0.0356,-0.0377,0.93,-0.1084,0.153
US30_ISO,SHORT,whole,1.3,63.0,150,-0.0669,-0.0485,0.87,-0.1109,0.227
US30_ISO,SHORT,whole,1.6,50.9,122,-0.063,-0.0462,0.881,-0.1294,0.233
US30_ISO,SHORT,whole,2.0,39.0,95,-0.1383,-0.0679,0.742,-0.1389,0.493
US30_ISO,SHORT,whole,2.4,29.8,78,-0.1643,-0.0854,0.694,-0.1069,0.687
