preset,IS_rank,med_drop,p90_drop,wf_folds,wf_IS,wf_OOS,wf_gap,verdict
Sweep neighbourhood,0.7068106312292359,0.0,0.5299003322259137,5,0.22706751788351448,-0.05825025020557304,0.28531776808908754,OVERFIT -- large in/out gap in the walk-forward
Sweep top row,0.9127906976744186,0.0,0.31229235880398676,7,0.3472088314151937,0.08128083818877128,0.2659279932264224,OVERFIT -- large in/out gap in the walk-forward
Optuna retDD,0.9842192691029901,0.0,0.12707641196013286,12,0.2127293113670278,0.15027859923647482,0.06245071213055298,fitted; rank and walk-forward both hold
As published,0.4426910299003322,0.0,0.4792358803986711,13,0.007788145187428481,-0.0012298860361652701,0.009018031223593752,NOT FITTED -- ranks below median in its own pool
Optuna PF,0.9842192691029901,0.0,0.10132890365448499,11,0.19507700896122887,0.2026986977432532,-0.007621688782024322,fitted; rank and walk-forward both hold
Optuna totR,0.9310631229235881,0.0,0.3164451827242525,13,0.20290829580997338,0.22555195759023855,-0.022643661780265167,"fitted; rank holds on average, unstable in the tail"
