preset,block,n,rule_R,rule_win,rule_worst,rule_dd,rule_RperDD,open_R,open_worst,open_dd,open_RperDD,open_stopped_R,open_stopped_worst,open_stopped_dd,open_stopped_RperDD
As published,research,378,-0.044737140399948874,26.71957671957672,-1.2971541906791568,23.464584358754436,-0.7206877740781912,0.5793701146282069,-4.957194553004532,6.150682219567614,35.60611579520975,0.26815314784861066,-1.2971541906791568,11.934923791551796,8.492881199503294
As published,LOCKED,214,0.14230500314214972,34.57943925233645,-1.1435094211477028,17.943223570804626,1.6972017626738196,0.6279264421866884,-2.493636361272948,5.464439423285942,24.59104186521416,0.23511404564872748,-1.1396858985422733,9.332348817329267,5.391397894964953
Optuna totR,research,296,0.19484866041726553,28.37837837837838,-1.4591440149153392,18.927696229699183,3.0471327721866777,0.9267231216921967,-4.13556212457693,7.093937944777082,38.66823281458943,0.40203662557575803,-1.4591440149153392,12.949731241130223,9.189599301679259
Optuna totR,LOCKED,160,0.20002062946608223,33.125,-1.3848583886310584,17.823724033274246,1.7955451203591206,0.8041448235178471,-2.892294893315928,6.252376275534576,20.578283534583797,0.11371614612155931,-1.3848583886310584,13.28175822736387,1.3698926804708675
Optuna PF,research,135,0.20351084176933448,40.74074074074074,-1.2574093694649073,4.023409605351555,6.828527625503731,0.5460280486222531,-0.902589790782363,1.7058246675837623,43.212991326017715,0.43542188573594004,-1.094653657330304,2.6096172750601667,22.525124713161873
Optuna PF,LOCKED,79,0.1819308742509889,39.24050632911392,-1.050800946713036,6.671530435328998,2.154309150673815,0.5140445985007279,-1.1055908839227817,3.0664673251229857,13.243096689422183,0.4967222820312632,-1.0592659730818403,3.004160200637891,13.06223958101086
Optuna retDD,research,175,0.24893263059807927,39.42857142857143,-1.225742667231362,4.328919739595772,10.06329823031825,0.8177545606007347,-2.0190399985260408,2.841772880159681,50.35836927864809,0.43926979615543443,-1.1789447917784386,6.195415223904689,12.407919654939924
Optuna retDD,LOCKED,95,0.10967487988944562,35.78947368421053,-1.13637927618055,12.207494546490832,0.8535013921011674,0.7660533373507286,-1.7933250962027278,2.7084373697696478,26.869761826727686,0.5058910087998734,-1.13637927618055,5.655613719409573,8.497688884064244
Sweep top row,research,103,0.41835968528359035,36.89320388349515,-1.2910205967238892,6.8538015058856985,6.287174722992107,1.117594180946508,-3.8396838962040265,5.729011126398532,20.092856881891606,0.859536297917165,-1.2910205967238892,7.381499758181121,11.993800932845017
Sweep top row,LOCKED,61,0.22430832306704643,37.704918032786885,-1.3287796013299755,18.073196442167358,0.7570773521371063,1.0527174143629245,-1.8279528170088277,3.3811003444203394,18.99256328848993,0.8177265345377042,-1.1464844212118044,4.363184060540149,11.432320506007898
Sweep nbhd,research,92,0.19208128674653094,34.78260869565217,-1.2910205967238892,11.778249836627541,1.5003484070890374,0.959679896523679,-1.9966365231388858,6.640907668900496,13.294952268896147,0.7012572766716852,-1.5794242389128692,7.38149975818115,8.74018445672782
Sweep nbhd,LOCKED,53,0.26239861020534283,35.84905660377358,-1.491843064715921,20.127433116137254,0.6909537972695123,1.292119942651194,-2.0919518957729903,3.7617078222885,18.205123894723663,0.8841137588630235,-1.491843064715921,5.083154307695903,9.218297612723878
