feed,side,block,vol_mult,keep_pct,n,R,pct,pf,ctl_R,p_ctl
US30_ISO,LONG,whole,1.3,64.3,148,-0.0259,-0.0021,0.951,0.0343,0.807
US30_ISO,LONG,whole,1.6,51.3,122,-0.1021,-0.0371,0.82,0.0484,0.96
US30_ISO,LONG,whole,2.0,41.2,100,-0.0245,-0.0173,0.955,0.0349,0.72
US30_ISO,LONG,whole,2.4,34.1,83,0.0542,-0.004,1.105,0.0338,0.427
US30_ISO,SHORT,whole,0.8,95.5,209,-0.0969,-0.047,0.818,-0.0915,0.553
US30_ISO,SHORT,whole,1.0,85.8,185,-0.0788,-0.0485,0.855,-0.1031,0.387
US30_ISO,SHORT,whole,1.1,80.6,175,-0.0366,-0.0386,0.928,-0.1014,0.22
US30_ISO,SHORT,whole,1.3,70.0,149,-0.0604,-0.0471,0.882,-0.0965,0.307
US30_ISO,SHORT,whole,1.6,56.8,122,-0.063,-0.0462,0.881,-0.106,0.347
US30_ISO,SHORT,whole,2.0,43.5,95,-0.1383,-0.0679,0.742,-0.1113,0.587
US30_ISO,SHORT,whole,2.4,33.2,78,-0.1643,-0.0854,0.694,-0.1046,0.627
