finalist,n_lock,totR,R_2025_26,share_2025_26,R_pre2025,n_pre2025,R_per_trade_pre2025,top5pct_share
totR,160,32.00330071457316,30.20540823386329,94.3821654624169,1.7978924807098706,123,0.01461701203829163,174.34852480260898
pf,79,14.372539065828121,6.243734353984776,43.44211085729286,8.128804711843346,74,0.10984871232220737,96.36627485030552
retdd,95,10.419113589497334,7.249421249881511,69.57809978373848,3.1696923396158216,89,0.035614520669840694,89.28909730696587
as published,214,30.45327067242004,7.236092946317244,23.76129980964771,23.217177726102797,178,0.1304335827309146,97.40942388718774
