preset,engine,script,ratio,same_exit_bar,r_corr,gap_research,gap_locked
As published,592,591,0.9983108108108109,37.28813559322034,0.9777137465870744,8.986133198981596,3.847118660433638
Optuna: total R,456,454,0.9956140350877193,34.437086092715234,0.9989491357519825,-4.37810162911806,8.130214719903023
Optuna: profit factor,214,214,1.0,7.943925233644859,0.9924112834403033,8.657865096506308,-0.09990393026272727
Optuna: return/drawdown,270,270,1.0,38.51851851851852,0.9999214649892791,-0.26030605049057887,-1.9961959643816565
Sweep: top row,164,164,1.0,35.97560975609756,0.9994381271208295,0.7036442778983989,1.3228251516199558
Sweep: neighbourhood,145,146,1.006896551724138,31.724137931034484,0.9979211530701165,7.098075962583063,1.8061819655660099
