year,totR,pf,retdd,as published
2010,0.02666783696724626,-0.05097592567447254,-0.04952318977882335,-0.1285383429682273
2011,-0.20751750838021166,0.4446261130575295,0.6070998532518138,-0.05547608477049675
2012,0.33975966350062475,-0.09225863208884813,0.1028455456747848,-0.024561064601476498
2013,0.31082285709332275,0.07691070340895727,0.16731082204797318,0.1502551119856551
2014,0.6429588429594052,0.05516111294114889,0.2892203676887587,0.09328709080952126
2015,-0.12008759308635399,0.2064964224304539,0.11068415244696883,-0.6221806792754785
2016,0.5485425324635878,0.5072536432100047,0.5530796626819676,0.30773873674567687
2017,0.4134891837394336,0.2329424611692045,0.3072240628246575,-0.08106588065316866
2018,0.1506451065127803,0.05660783958371866,-0.09794282649456869,-0.11264265556222058
2019,0.4960171587158581,0.4864357868518836,0.1638600226351363,-0.1793755502800615
2020,0.19009212961490052,0.362212396507003,0.1842238991442453,0.09092654213289722
2021,-0.16268530413722643,0.04091495353018953,-0.0015124191870071006,0.05642804720300422
2022,0.1622084731582311,0.18127280518395436,0.2395006530716637,0.1969308447135789
2023,-0.5149901264046819,-0.19249469070775568,-0.3102107919547948,-0.19762174689774387
2024,0.1702366219000602,0.29288294447597973,0.19790558593269733,0.24403896550307952
2025,0.6449255661437844,1.9351067163298283,1.482805105914619,0.03729265510511163
2026,6.988087852687055,0.7911736404417061,0.6591004131115178,2.9840713363717253
