feed,cell,side,regime,block,n,R,always_n,always_R,edge
US100,US30 Optuna retdd,SHORT,bear,LOCKED,23,-0.2617,23,0.2496,-0.5113
US30,As published L,LONG,bull,research,285,0.2108,257,0.1268,0.084
US30,As published L,LONG,bull,LOCKED,144,-0.0816,135,0.0297,-0.1113
US30,As published L,LONG,bear,research,48,0.1187,43,0.5285,-0.4098
US30,As published L,LONG,bear,LOCKED,33,-0.0526,30,0.0064,-0.059
US30,As published L,SHORT,bull,research,220,-0.257,197,0.0055,-0.2624
US30,As published L,SHORT,bull,LOCKED,129,-0.0383,111,0.1407,-0.179
US30,As published L,SHORT,bear,research,73,0.065,67,0.2035,-0.1385
US30,As published L,SHORT,bear,LOCKED,58,-0.0528,50,0.2468,-0.2996
US30,As published S,LONG,bull,research,285,0.2108,257,0.1268,0.084
US30,As published S,LONG,bull,LOCKED,144,-0.0816,135,0.0297,-0.1113
US30,As published S,LONG,bear,research,48,0.1187,43,0.5285,-0.4098
US30,As published S,LONG,bear,LOCKED,33,-0.0526,30,0.0064,-0.059
US30,As published S,SHORT,bull,research,220,-0.257,197,0.0055,-0.2624
US30,As published S,SHORT,bull,LOCKED,129,-0.0383,111,0.1407,-0.179
US30,As published S,SHORT,bear,research,73,0.065,67,0.2035,-0.1385
US30,As published S,SHORT,bear,LOCKED,58,-0.0528,50,0.2468,-0.2996
US30,US100 Optuna totR,LONG,bull,research,154,-0.0641,147,0.1973,-0.2614
US30,US100 Optuna totR,LONG,bull,LOCKED,107,0.0366,101,0.1388,-0.1022
US30,US100 Optuna totR,LONG,bear,research,41,0.2112,37,0.0854,0.1258
US30,US100 Optuna totR,LONG,bear,LOCKED,40,0.2518,35,0.6742,-0.4225
US30,US100 Optuna totR,SHORT,bull,research,303,-0.0847,287,0.2788,-0.3635
US30,US100 Optuna totR,SHORT,bull,LOCKED,154,-0.1168,140,0.1046,-0.2214
US30,US100 Optuna totR,SHORT,bear,research,45,0.2914,45,0.3754,-0.084
US30,US100 Optuna totR,SHORT,bear,LOCKED,44,-0.4937,39,-0.229,-0.2647
US30,US100 Optuna pf,LONG,bull,LOCKED,15,-0.5489,15,0.0577,-0.6066
US30,US100 Optuna pf,SHORT,bull,research,34,-0.041,34,-0.0159,-0.0252
US30,US100 Optuna pf,SHORT,bull,LOCKED,24,-0.3072,24,0.7485,-1.0558
US30,US100 Optuna retdd,LONG,bull,research,228,-0.1054,202,-0.14,0.0346
US30,US100 Optuna retdd,LONG,bull,LOCKED,118,-0.0618,107,0.0537,-0.1154
US30,US100 Optuna retdd,LONG,bear,research,39,0.2441,37,0.313,-0.0688
US30,US100 Optuna retdd,LONG,bear,LOCKED,34,-0.1664,28,-0.1482,-0.0183
US30,US100 Optuna retdd,SHORT,bull,research,135,0.0069,124,0.1307,-0.1238
US30,US100 Optuna retdd,SHORT,bull,LOCKED,82,0.1396,74,0.1083,0.0313
US30,US100 Optuna retdd,SHORT,bear,research,64,-0.0549,51,-0.0003,-0.0546
US30,US100 Optuna retdd,SHORT,bear,LOCKED,38,-0.119,35,-0.0014,-0.1176
US30,US30 Optuna totR,LONG,bull,research,593,0.327,455,0.5799,-0.253
US30,US30 Optuna totR,LONG,bull,LOCKED,341,0.0469,257,0.0647,-0.0178
US30,US30 Optuna totR,LONG,bear,research,137,0.3026,100,0.3145,-0.0118
US30,US30 Optuna totR,LONG,bear,LOCKED,89,0.0348,67,-0.0442,0.079
US30,US30 Optuna totR,SHORT,bull,research,422,-0.1321,331,0.3733,-0.5054
US30,US30 Optuna totR,SHORT,bull,LOCKED,271,-0.0857,193,0.2586,-0.3443
US30,US30 Optuna totR,SHORT,bear,research,169,0.0499,112,0.0871,-0.0372
US30,US30 Optuna totR,SHORT,bear,LOCKED,109,-0.0622,82,0.0472,-0.1094
US30,US30 Optuna pf,LONG,bull,research,96,1.0029,96,1.8442,-0.8412
US30,US30 Optuna pf,LONG,bull,LOCKED,75,-0.0283,74,-0.0887,0.0604
US30,US30 Optuna pf,LONG,bear,research,14,0.4918,14,0.9178,-0.4261
US30,US30 Optuna pf,LONG,bear,LOCKED,19,0.3971,19,0.2591,0.138
US30,US30 Optuna pf,SHORT,bull,research,68,-0.1091,68,0.749,-0.8581
US30,US30 Optuna pf,SHORT,bull,LOCKED,68,-0.1205,65,-0.0377,-0.0828
US30,US30 Optuna pf,SHORT,bear,research,19,-0.2403,18,1.009,-1.2493
US30,US30 Optuna pf,SHORT,bear,LOCKED,22,-0.2827,21,-0.2872,0.0044
US30,US30 Optuna retdd,LONG,bull,research,126,1.245,123,1.903,-0.658
US30,US30 Optuna retdd,LONG,bull,LOCKED,86,-0.0224,84,-0.3271,0.3047
US30,US30 Optuna retdd,LONG,bear,research,18,0.2568,17,1.0751,-0.8182
US30,US30 Optuna retdd,LONG,bear,LOCKED,18,0.0059,18,0.379,-0.3731
US30,US30 Optuna retdd,SHORT,bull,research,109,-0.0094,109,-0.0421,0.0327
US30,US30 Optuna retdd,SHORT,bull,LOCKED,83,-0.0729,79,0.1809,-0.2539
US30,US30 Optuna retdd,SHORT,bear,research,36,-0.3585,35,0.5451,-0.9036
US30,US30 Optuna retdd,SHORT,bear,LOCKED,30,-0.2618,29,0.1527,-0.4144
US30_ISO,As published L,LONG,bull,research,92,0.0204,82,0.1156,-0.0953
US30_ISO,As published L,LONG,bull,LOCKED,51,0.0589,46,0.0846,-0.0257
US30_ISO,As published L,LONG,bear,research,20,0.0009,19,-0.1932,0.1941
US30_ISO,As published L,SHORT,bull,research,101,0.0139,87,0.0199,-0.0061
US30_ISO,As published L,SHORT,bull,LOCKED,45,-0.2403,40,-0.2194,-0.0209
US30_ISO,As published L,SHORT,bear,research,25,0.0796,18,0.0037,0.0759
US30_ISO,As published S,LONG,bull,research,92,0.0204,82,0.1156,-0.0953
US30_ISO,As published S,LONG,bull,LOCKED,51,0.0589,46,0.0846,-0.0257
US30_ISO,As published S,LONG,bear,research,20,0.0009,19,-0.1932,0.1941
US30_ISO,As published S,SHORT,bull,research,101,0.0139,87,0.0199,-0.0061
US30_ISO,As published S,SHORT,bull,LOCKED,45,-0.2403,40,-0.2194,-0.0209
US30_ISO,As published S,SHORT,bear,research,25,0.0796,18,0.0037,0.0759
US30_ISO,US100 Optuna totR,LONG,bull,research,67,-0.1927,59,0.5924,-0.7851
US30_ISO,US100 Optuna totR,LONG,bull,LOCKED,37,0.1107,37,0.3247,-0.2139
US30_ISO,US100 Optuna totR,LONG,bear,research,21,0.2442,17,0.0539,0.1903
US30_ISO,US100 Optuna totR,SHORT,bull,research,117,0.0145,103,0.2736,-0.259
US30_ISO,US100 Optuna totR,SHORT,bull,LOCKED,52,-0.2226,49,-0.0487,-0.1739
US30_ISO,US100 Optuna retdd,LONG,bull,research,73,-0.2092,60,-0.0425,-0.1667
US30_ISO,US100 Optuna retdd,LONG,bull,LOCKED,40,0.1018,37,-0.0117,0.1135
US30_ISO,US100 Optuna retdd,SHORT,bull,research,59,-0.0008,49,-0.1329,0.1321
US30_ISO,US100 Optuna retdd,SHORT,bull,LOCKED,29,-0.1358,26,-0.2745,0.1387
US30_ISO,US30 Optuna totR,LONG,bull,research,171,0.1267,125,0.8591,-0.7324
US30_ISO,US30 Optuna totR,LONG,bull,LOCKED,97,0.2941,79,0.9035,-0.6094
US30_ISO,US30 Optuna totR,LONG,bear,research,46,0.042,30,-0.2198,0.2618
US30_ISO,US30 Optuna totR,SHORT,bull,research,176,-0.2296,116,-0.1856,-0.044
US30_ISO,US30 Optuna totR,SHORT,bull,LOCKED,99,-0.4263,67,-0.1573,-0.269
US30_ISO,US30 Optuna totR,SHORT,bear,research,39,0.0072,25,0.7113,-0.704
US30_ISO,US30 Optuna pf,LONG,bull,research,54,0.0503,52,0.6065,-0.5561
US30_ISO,US30 Optuna pf,LONG,bull,LOCKED,32,-0.2685,31,1.1461,-1.4145
US30_ISO,US30 Optuna pf,SHORT,bull,research,59,-0.5254,56,-0.1837,-0.3416
US30_ISO,US30 Optuna pf,SHORT,bull,LOCKED,19,-0.4815,19,-0.5314,0.0499
US30_ISO,US30 Optuna retdd,LONG,bull,research,58,0.0305,55,0.5766,-0.5461
US30_ISO,US30 Optuna retdd,LONG,bull,LOCKED,34,-0.1817,33,1.2603,-1.442
US30_ISO,US30 Optuna retdd,SHORT,bull,research,65,-0.3823,62,-0.0464,-0.3359
US30_ISO,US30 Optuna retdd,SHORT,bull,LOCKED,24,-0.4738,24,-0.5783,0.1045
