finalist,n,mean_R,ci_lo,ci_hi,p_mean_le_0,real_dd,mc_med_dd,mc_p99_dd,dd_pctile
totR,160,0.20002062946608223,-0.10661141639740565,0.5385670287180162,0.0955,17.823724033274246,15.046971282532814,29.709787893592353,0.722
pf,79,0.1819308742509889,-0.05435139975771018,0.45501191034347077,0.075,6.671530435328998,4.8841573161642735,9.358393061016724,0.8525
retdd,95,0.10967487988944562,-0.1273055704490997,0.35585909150010797,0.1755,12.207494546490832,8.564376879854937,16.500243596144248,0.8935
as published,214,0.14230500314214972,-0.031024828776480468,0.3280265496460017,0.0545,17.943223570804626,12.16799536848805,23.01130272315754,0.925
