feed,study,scorable,res_pos,lock_pos,corr_R,spearman,top1pct_res,top1pct_lock,pop_lock
US100,totR,796,89.4,29.8,0.111,0.072,0.3674,0.0301,-0.0361
US100,pf,646,93.3,48.5,0.107,0.103,0.6756,0.0124,-0.0018
US100,retdd,778,90.4,42.0,0.004,0.052,0.5496,-0.0447,-0.0122
US30,totR,715,85.2,40.7,0.342,0.303,0.7356,0.0458,-0.0133
US30,pf,545,88.6,51.7,0.225,0.251,0.9581,-0.0258,0.012
US30,retdd,636,91.0,69.2,0.42,0.454,0.9076,-0.0168,0.0454
