feed,cell,block,n,R,pct,pf,win,totR,ret_dd,ctl_R,p_ctl,boot_p
US100,Optuna totR,research,431,0.33917741781659566,0.08161574568361138,1.5607874524038714,28.074245939675173,146.18546707895274,5.0812480620158365,-0.24703876403858432,0.0,0.0105
US100,Optuna totR,LOCKED,244,0.07830519037032904,-0.002879674903844941,1.1312634917602413,24.59016393442623,19.106466450360287,0.8908888154905844,-0.15061558580892223,0.1,0.5335
US100,Optuna pf,research,102,0.6505974704038983,0.1755198106816353,2.478388130907351,43.13725490196079,66.36094198119763,10.447397724945432,-0.2330099687072529,0.01,0.016
US100,Optuna pf,LOCKED,62,0.12120375093024237,0.01671541518205162,1.2376994995785535,35.483870967741936,7.514632557675027,0.7206124229190907,-0.14715140876200866,0.14666666666666667,0.4265
US100,Optuna retdd,research,270,0.27714278542323545,0.15720886646027188,1.7488501468641893,37.407407407407405,74.82855206427357,13.49006974914033,-0.08390185870234419,0.0,0.0065
US100,Optuna retdd,LOCKED,165,-0.02443184197277956,-0.016456731672263032,0.9407936601642035,32.72727272727273,-4.0312539255086275,-0.19634100573677685,-0.06297246315406736,0.31666666666666665,0.617
US30,Optuna totR,research,722,0.33042784686335264,0.03022201581979382,1.5601852776348448,31.024930747922436,238.5689054353406,5.892044669069825,-0.04814742601858578,0.01,0.0775
US30,Optuna totR,LOCKED,430,0.04441455374049921,0.012002662279492742,1.0807761271966874,30.465116279069765,19.09825810841466,0.7662434148710843,-0.07922524705774284,0.2,0.2695
US30,Optuna pf,research,110,0.9378823687120541,0.12085506992053176,3.541364514574994,41.81818181818181,103.16706055832596,15.52984680400056,-0.06512848615574737,0.0,0.0145
US30,Optuna pf,LOCKED,94,0.05772026669798038,-0.0015375501025123811,1.1247923400893816,35.1063829787234,5.425705069610156,0.4350883229489796,-0.07930975010679453,0.23,0.5425
US30,Optuna retdd,research,144,1.121496846843767,0.1425451839910284,4.017526203110735,43.05555555555556,161.49554594550244,31.16233728387191,-0.09621877735846895,0.0,0.0015
US30,Optuna retdd,LOCKED,104,-0.01750584961425765,-0.013590217008882922,0.962686864069287,34.61538461538461,-1.8206083598827956,-0.11676637215439474,-0.10239648709124569,0.3433333333333333,0.666
US100,As published L,research,502,-0.012059093748126196,0.014137838598427075,0.978350533328941,28.286852589641438,-6.05366506155935,-0.16551580423054404,-0.05698315749580517,0.2733333333333333,0.3005
US100,As published L,LOCKED,269,-0.018441506221668534,-0.00844871463628447,0.9658985219497852,27.509293680297397,-4.960765173628836,-0.24341915274307133,0.015023147654753079,0.6466666666666666,0.5925
US100,As published S,research,357,0.017403275800354154,-0.012273307253360824,1.0320451941527726,28.291316526610643,6.212969460726432,0.26039043785377214,-0.15364147417405147,0.0,0.621
US100,As published S,LOCKED,225,-0.1508953874818217,-0.05294895067963491,0.7140120266762896,24.88888888888889,-33.95146218340989,-0.9270611097085266,-0.08546465040862444,0.7933333333333333,0.8865
US30,As published L,research,333,0.19754138232805452,0.015132491926866883,1.4017464386357072,31.53153153153153,65.78128031524216,6.9032142231867475,-0.07605948380298816,0.0033333333333333335,0.304
US30,As published L,LOCKED,177,-0.07620996809027629,-0.0073449756684547405,0.8591580192284376,28.24858757062147,-13.489164351978904,-0.6414810841093619,-0.029699980951817313,0.6633333333333333,0.605
US30,As published S,research,293,-0.17674097782653306,-0.031077813270983443,0.7051534221233783,22.866894197952217,-51.785106503174184,-0.9845663019939759,-0.1417855173454806,0.7033333333333334,0.8235
US30,As published S,LOCKED,187,-0.04280447008363622,0.0022742954861589624,0.9162889038150278,26.203208556149733,-8.004435905639973,-0.3911265966813627,-0.0914971347215348,0.30333333333333334,0.5115
