feed,side,block,cells,bull_beats_both,bear_beats_both,positive
US100,LONG,research,8,6,2,5
US100,LONG,LOCKED,8,6,2,3
US100,SHORT,research,8,6,2,6
US100,SHORT,LOCKED,8,7,1,3
US30,LONG,research,7,4,2,5
US30,LONG,LOCKED,7,2,5,3
US30,SHORT,research,7,3,4,0
US30,SHORT,LOCKED,7,6,1,1
US30_ISO,LONG,research,5,3,2,3
US30_ISO,LONG,LOCKED,1,1,0,1
US30_ISO,SHORT,research,6,1,5,3
US30_ISO,SHORT,LOCKED,1,0,1,0
