dropped,n,R,pf,win,totR,dR
-- none (full rule) --,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675,0.0
C1,521,-0.06446242021807017,0.8750853431122924,26.67946257197697,-33.584920933614555,-0.01972527981812129
C2,424,-0.04330777273773275,0.917992293403469,26.650943396226417,-18.362495640798688,0.001429367662216123
C3,1027,-0.16249925649585162,0.7461039584890701,26.971762414800388,-166.88673642123962,-0.11776211609590274
C4,734,-0.05039368945298226,0.9026293929120562,26.83923705722071,-36.98896805848898,-0.005656549053033387
C5,596,-0.12178419895944588,0.7823567066313335,23.657718120805367,-72.58338257982975,-0.077047058559497
C6,400,-0.06275521530855514,0.8847685302312022,26.25,-25.10208612342206,-0.01801807490860627
ambig,426,-0.07930784143154435,0.8540455587770246,25.586854460093893,-33.78514044983789,-0.03457070103159547
