finalist,kind,base_R,p5,med,p95,share_pos,share_beat
totR,parameters +-10%,0.20002062946608223,0.07098497562856555,0.12179369272896542,0.212358241046782,100.0,6.666666666666667
pf,parameters +-10%,0.1819308742509889,0.10796906243723453,0.19367924838111877,0.2665825955010856,100.0,63.33333333333333
retdd,parameters +-10%,0.10967487988944562,0.04789446213685139,0.11378170773675458,0.17315808732539784,100.0,51.66666666666667
as published,parameters +-10%,0.14230500314214972,0.06976215345772517,0.13636981092739608,0.17477469491602815,100.0,48.333333333333336
