vol_mult,kept,share,n,R,pf,rand_R,p
1.0,512,68.26666666666667,413,-0.06781310530443704,0.8725885717666417,-0.1315500554570958,0.015
1.1,460,61.333333333333336,378,-0.044737140399948874,0.9156344713371647,-0.12937319819479426,0.01
1.3,319,42.53333333333333,275,0.014343062800014088,1.0274857483398243,-0.14298642760292285,0.0
1.5,217,28.933333333333334,190,0.14394166931303448,1.3035780318397145,-0.14578587743626548,0.0
2.0,64,8.533333333333333,59,0.37449807663481616,1.9000097387347568,-0.15747963556943256,0.0025
