feed,cells,months,splits,PBO,median_logit,mean_rank_drop,slope_OOS_on_IS,IS_best_OOS,IS_best_IS
US100,400,107,924,0.126,2.091,0.207,0.185,0.1658,0.5821
US30,400,105,924,0.517,-0.09,0.49,0.097,-0.1181,1.63
