preset,folds,corr_fold_R_vs_gold,folds_pos,folds_pos_when_gold_up,folds_gold_up,mean_R_gold_up,mean_R_gold_down
As published,13,0.25590655776203686,8,6,9,2.0679710389262342,0.9678381524448277
Optuna totR,13,0.4853106098930553,10,7,9,9.167554698974875,0.2837035526118955
Optuna PF,13,0.4070968696489782,12,8,9,3.4146476623399726,1.9982963800854625
Optuna retDD,13,0.11892475680669029,12,8,9,3.4283169555099464,3.207251760511601
Sweep top row,13,-0.10004297070796578,7,5,9,2.2121926309695996,6.325143117655681
Sweep nbhd,13,0.0483987285321386,7,5,9,0.41796261614493146,3.94267895176832
