preset,fitted,IS_rank,OOS_rank,med_pair_drop,p90_drop,OOS_above_median
Optuna retDD,YES,0.9842192691029901,0.9842192691029901,0.0,0.12707641196013286,100.0
Optuna PF,YES,0.9842192691029901,0.9842192691029901,0.0,0.10132890365448499,100.0
Optuna totR,YES,0.9310631229235881,0.9310631229235881,0.0,0.3164451827242525,98.28282828282828
Sweep top row,YES,0.9127906976744186,0.9127906976744186,0.0,0.31229235880398676,97.17171717171718
Sweep neighbourhood,YES,0.7068106312292359,0.7068106312292359,0.0,0.5299003322259137,79.76689976689977
As published,no,0.4426910299003322,0.4426910299003322,0.0,0.4792358803986711,40.93240093240093
