feat,fam,h,block,n,ic,t,p
pead.ev1.5_decay,pead,5,locked,263,-0.06344269038853138,-0.6482918893879022,0.5167961788379172
pead.ev1.5_decay,pead,10,research,473,-0.03723013944676286,-0.4229837479919842,0.6723071185994456
pead.ev1.5_decay,pead,10,locked,258,-0.14303701857785142,-1.185886642808664,0.2356670687813831
pead.ev1.5_decay,pead,20,research,473,-0.04280505636505432,-0.44288227707401784,0.6578508872258628
pead.ev1.5_decay,pead,20,locked,248,-0.04313662629740743,-0.26157419202307897,0.7936497431936638
pead.ev2.0_sign,pead,1,research,495,0.00040888518981630617,0.009226621281022885,0.9926383257821954
pead.ev2.0_sign,pead,1,locked,267,0.03200470343311509,0.4850190235304502,0.6276628512027882
pead.ev2.0_sign,pead,5,research,495,0.030913753480890843,0.37318304663592766,0.7090122130974303
pead.ev2.0_sign,pead,5,locked,263,0.18345896963633535,1.639764444096173,0.10105415370877013
pead.ev2.0_sign,pead,10,research,495,0.01951692595258551,0.17739813352088726,0.8591956733015755
pead.ev2.0_sign,pead,10,locked,258,0.34420041890295977,2.4860138183125935,0.012918294939846087
pead.ev2.0_sign,pead,20,research,495,0.04158656054877558,0.30448931865757595,0.7607551291514547
pead.ev2.0_sign,pead,20,locked,248,0.5779520650191574,3.2544208419357235,0.0011362382061239629
pead.ev2.0_since,pead,1,research,470,-0.02580592646200918,-0.5453802166537992,0.5854920439003646
pead.ev2.0_since,pead,1,locked,267,-0.029024895866857244,-0.5272571593735635,0.5980150199547958
pead.ev2.0_since,pead,5,research,470,-0.06747344341308702,-0.7687767095711185,0.44202587741539645
pead.ev2.0_since,pead,5,locked,263,0.010150660935418495,0.10312352213416026,0.9178649365828515
pead.ev2.0_since,pead,10,research,470,-0.02210720881046087,-0.21304208871723096,0.8312941341060176
pead.ev2.0_since,pead,10,locked,258,0.0716585801296515,0.6256828263838317,0.5315229998122142
pead.ev2.0_since,pead,20,research,470,0.023279606340523385,0.21569474744646355,0.8292256957826645
pead.ev2.0_since,pead,20,locked,248,0.2739902902027792,1.8749173385758904,0.06080409635486306
pead.ev2.0_decay,pead,1,research,470,-0.003075744757324127,-0.06656865939979478,0.9469250965576577
pead.ev2.0_decay,pead,1,locked,267,0.0007667569357279156,0.01157685488491516,0.9907632125496686
pead.ev2.0_decay,pead,5,research,470,0.0029689372275585445,0.034332728559272385,0.9726118266301231
pead.ev2.0_decay,pead,5,locked,263,0.11250146956962878,1.0501550602566025,0.29364682738789094
pead.ev2.0_decay,pead,10,research,470,-0.0012566645669334702,-0.01068127419995575,0.9914777382767264
pead.ev2.0_decay,pead,10,locked,258,0.23911606546700628,1.8976339030906906,0.05774432509607785
pead.ev2.0_decay,pead,20,research,470,-0.005470938290086712,-0.040236971584423756,0.9679042024232258
pead.ev2.0_decay,pead,20,locked,248,0.4234941555612897,2.364582006490043,0.018050430608264056
