W,scheme,n_trades,ev_per_trade_%,hist_cagr_%,hist_maxdd_%,mc_median_terminal_x,mc_median_maxdd_%,mc_p5_maxdd_%,P_ruin50_%
9,split 1/3 (2x),187,1.12,23.34,-30.57,6.71,-27.09,-44.48,1.92
10,fixed 1x,179,0.86,17.39,-19.01,4.31,-18.3,-31.34,0.05
10,split 1/3 (1x),179,0.64,12.91,-13.58,3.02,-15.5,-27.81,0.02
10,split 1/3 (2x),179,1.23,24.36,-28.53,7.38,-30.92,-51.82,6.33
11,fixed 1x,173,0.86,16.81,-21.02,4.1,-18.1,-31.14,0.06
11,split 1/3 (1x),173,0.65,12.56,-19.18,2.93,-15.42,-27.68,0.0
11,split 1/3 (2x),173,1.24,23.53,-37.23,6.87,-30.79,-52.21,6.72
12,fixed 1x,167,0.83,15.35,-32.08,3.66,-20.06,-34.83,0.18
12,split 1/3 (1x),167,0.49,8.85,-23.05,2.15,-17.82,-32.23,0.09
12,split 1/3 (2x),167,0.92,15.46,-45.43,3.73,-35.82,-59.72,15.16
13,fixed 1x,165,0.97,18.26,-19.19,4.53,-15.47,-26.86,0.01
13,split 1/3 (1x),165,0.68,12.64,-11.39,2.96,-11.72,-21.37,0.0
13,split 1/3 (2x),165,1.27,23.69,-23.46,6.98,-25.16,-43.44,1.53
14,fixed 1x,144,0.95,15.5,-12.89,3.67,-15.21,-27.05,0.0
14,split 1/3 (1x),144,0.64,10.36,-10.12,2.44,-12.44,-23.3,0.0
14,split 1/3 (2x),144,1.19,18.76,-21.23,4.87,-26.5,-46.17,2.77
15,fixed 1x,123,0.96,12.92,-24.07,3.02,-19.58,-34.61,0.25
15,split 1/3 (1x),123,0.73,9.85,-18.29,2.37,-16.53,-29.85,0.04
15,split 1/3 (2x),123,1.36,17.5,-37.6,4.4,-33.34,-55.42,9.83
16,fixed 1x,132,1.1,16.3,-18.08,3.93,-16.28,-29.87,0.01
16,split 1/3 (1x),132,0.88,13.03,-11.63,3.04,-12.27,-23.46,0.0
16,split 1/3 (2x),132,1.66,24.56,-24.84,7.39,-26.16,-46.03,2.64
17,fixed 1x,115,1.05,13.13,-27.65,3.06,-19.23,-34.65,0.2
17,split 1/3 (1x),115,0.79,9.89,-23.9,2.37,-16.86,-31.33,0.06
17,split 1/3 (2x),115,1.48,17.5,-45.98,4.42,-34.47,-58.19,12.66
18,fixed 1x,119,1.08,14.22,-18.58,3.35,-17.44,-31.36,0.05
18,split 1/3 (1x),119,0.77,10.02,-15.12,2.4,-15.46,-28.63,0.02
18,split 1/3 (2x),119,1.43,17.9,-31.9,4.54,-31.84,-53.4,8.15
19,fixed 1x,113,0.9,10.87,-23.14,2.56,-19.71,-35.45,0.29
19,split 1/3 (1x),113,0.75,9.06,-17.86,2.21,-16.98,-31.41,0.05
19,split 1/3 (2x),113,1.39,15.72,-34.7,3.82,-34.49,-58.62,13.22
20,fixed 1x,122,1.13,15.21,-17.54,3.62,-18.24,-31.93,0.04
20,split 1/3 (1x),122,0.76,10.2,-15.29,2.43,-15.85,-29.51,0.01
20,split 1/3 (2x),122,1.43,18.36,-30.47,4.63,-32.55,-55.66,9.68
21,fixed 1x,121,0.93,12.03,-26.43,2.81,-20.41,-36.54,0.38
21,split 1/3 (1x),121,0.68,8.75,-19.59,2.15,-17.01,-32.16,0.07
21,split 1/3 (2x),121,1.26,15.16,-39.55,3.65,-35.21,-60.01,14.44
22,fixed 1x,107,1.07,12.37,-23.06,2.89,-18.98,-35.08,0.19
22,split 1/3 (1x),107,0.73,8.49,-19.39,2.11,-16.03,-31.19,0.04
22,split 1/3 (2x),107,1.34,14.6,-39.76,3.45,-33.25,-57.49,12.3
23,fixed 1x,105,0.92,10.12,-26.48,2.42,-22.69,-40.96,1.05
23,split 1/3 (1x),105,0.77,8.54,-22.49,2.09,-19.37,-35.68,0.22
