,CAGR_%,sharpe~,max_dd_%,worst_trade_%,terminal_x,median_terminal_x,p5_terminal_x,median_max_dd_%,p5_max_dd_%,P_ruin_%
fixed 1x,16.91,0.99,-22.86,-11.2,4.11,4.13,1.94,-21.76,-35.53,0.11
martingale x2 cap4,36.54,1.11,-21.4,-15.54,16.7,7.03,1.76,-40.06,-65.46,24.51
martingale x2 cap8,41.05,1.16,-21.4,-15.54,22.4,7.22,1.04,-48.25,-83.86,46.54
anti-mart x2 cap4,21.41,0.39,-71.15,-44.82,5.78,21.39,1.85,-58.44,-80.74,75.31
split-entry 1/3 (1x),9.21,1.02,-11.0,-9.0,2.22,2.23,1.45,-13.68,-23.77,0.0
split-entry 1/3 (2x),17.97,0.95,-21.23,-17.62,4.45,4.53,1.88,-26.32,-43.3,1.63
