W,mode,sharpe,cagr_%,max_dd_%,mc_sharpe_med,mc_sharpe_p5,P_sharpe_neg_%,P_ruin50_%,neighbour_sharpe,spike,cluster
1,long-only contra,0.8117904731989057,15.378145254354902,-25.89823589573318,0.8181128266532639,0.34439882204028094,0.15,0.15,0.7440126979207038,0.06777777527820195,1
1,L/S contrarian,0.4565019251906224,11.045561273414561,-27.838243957931475,0.46739018528938886,-0.03957705225717964,6.950000000000001,11.0,0.363147901447907,0.0933540237427154,1
1,L/S momentum,-0.9173953832370018,-18.980641815736366,-86.19921112898707,-0.9308689507622961,-1.3960643346453978,100.0,99.65,-0.6398583603240346,-0.2775370229129671,5
2,long-only contra,0.7571849356041312,13.896473238578722,-23.33712603147943,0.7682295168979856,0.3087871723926843,0.4,0.35000000000000003,0.8087488796465182,-0.051563944042386956,2
2,L/S contrarian,0.3484176084933565,8.325880074317027,-32.797303507904054,0.35976956086774153,-0.16419395069302117,12.25,20.5,0.49171020169065444,-0.14329259319729792,2
2,L/S momentum,-0.6558293427000785,-13.976666410679883,-82.44293585889253,-0.6613409216894393,-1.1334098934124814,98.45,97.3,-0.7975957726255677,0.14176642992548916,4
3,long-only contra,0.7308404602372764,14.30686831586543,-26.023527466005802,0.746953093880764,0.29007576264753204,0.5499999999999999,1.05,0.7780400007198894,-0.04719954048261299,2
3,L/S contrarian,0.37787819440245757,9.059633956982971,-31.81231877574946,0.3807632196015328,-0.11897129185548184,9.700000000000001,15.9,0.4246415870583802,-0.04676339265592261,2
3,L/S momentum,-0.6238873779479905,-13.344617694884864,-80.8947205214485,-0.6141100609611523,-1.0973935652895677,97.8,95.65,-0.7168191137023231,0.09293173575433256,4
4,long-only contra,0.8836157055033723,17.73743504233243,-23.531118155730212,0.8842375337564794,0.4261491209979465,0.15,0.1,0.7271200822176468,0.15649562328572553,2
4,L/S contrarian,0.6407504854788835,15.826924419947819,-27.61539690325795,0.6375430680013783,0.13751402359844675,1.55,4.7,0.35631620974845113,0.28443427573043234,2
4,L/S momentum,-0.8515045566917107,-17.74778684475692,-85.48532716414974,-0.8593942239595356,-1.3622911436784446,99.55000000000001,99.15,-0.5838575984720875,-0.26764695821962314,4
5,long-only contra,0.6595688885731484,12.594331003476933,-26.056293409951316,0.6586638124708366,0.20841190150537967,0.8,0.3,0.7912589956529285,-0.13169010707978002,2
5,L/S contrarian,0.2528963290706583,5.979198612469672,-37.29756619148434,0.25078190729899674,-0.24750854111110238,20.3,29.549999999999997,0.4947886541917052,-0.2418923251210469,2
5,L/S momentum,-0.4425471721805016,-9.658183815431432,-71.68558481509508,-0.4445924886531976,-0.9507603403270579,92.10000000000001,91.45,-0.6900789897482172,0.24753181756771564,4
6,long-only contra,0.7608860444560309,15.152498428853157,-24.727896560331686,0.7546460979005783,0.30293713034749703,0.4,0.35000000000000003,0.8386645356835891,-0.0777784912275582,2
6,L/S contrarian,0.4460727070273319,10.778346545101591,-36.771538976652195,0.4403017188028073,-0.07132955286089934,8.1,15.4,0.5634973124156384,-0.11742460538830646,2
6,L/S momentum,-0.6131665010597794,-13.127209892454673,-80.1781563286505,-0.6111678990355884,-1.1068840429881157,97.85000000000001,96.25,-0.739881441612392,0.12671494055261256,4
7,long-only contra,0.7896937724150345,16.04177755032785,-27.813676290271427,0.7958803037610325,0.31888102939104473,0.44999999999999996,0.5499999999999999,0.8186133507231902,-0.028919578308155724,2
7,L/S contrarian,0.5144532298581478,12.53079386891729,-36.45003273650516,0.5122627303912308,0.04784012713139674,3.65,7.6499999999999995,0.5272685905942632,-0.012815360736115444,2
7,L/S momentum,-0.6717575232933884,-14.28307895932125,-75.46090193177358,-0.6656988269895345,-1.1553601724282039,99.35000000000001,97.45,-0.6894790388536084,0.017721515560219947,4
8,long-only contra,1.0217797762428007,20.513244036318646,-23.303430327010688,1.0271183882678292,0.5530044213672538,0.05,0.1,0.8138820384792754,0.20789773776352527,2
8,L/S contrarian,0.8458892052548641,21.389816020699428,-26.775848790063538,0.8391030258637715,0.3281700519523289,0.25,2.1,0.5266850410571973,0.31920416419766684,2
8,L/S momentum,-0.9937165142839675,-20.376789380924976,-87.5452397949455,-0.9873524987083879,-1.4624320422122845,99.85000000000001,99.7,-0.678359652910633,-0.3153568613733344,4
9,long-only contra,0.8322186936207805,16.708829187242724,-28.545879722077938,0.8234884823073978,0.3842700747817115,0.25,0.5499999999999999,0.879893107866041,-0.04767441424526053,2
9,L/S contrarian,0.5642161210241987,13.817634911870314,-35.90685587284508,0.5623100866010182,0.07505966187110057,2.75,7.6,0.6191706083965006,-0.05495448737230191,2
9,L/S momentum,-0.7084859678901851,-15.004344670851378,-79.91610504370831,-0.7044662449058854,-1.1856797597402575,99.1,97.55,-0.7633038248656145,0.0548178569754294,4
10,long-only contra,0.8727296434252556,16.92583678046986,-24.14735205212176,0.8756368040504758,0.4013613188085599,0.2,0.4,0.8622240377804029,0.0105056056448527,2
10,L/S contrarian,0.5819981063191109,14.281272901470054,-26.497633899413763,0.5817026661317157,0.052246623579732296,3.25,11.4,0.5904625549906579,-0.008464448671547053,2
10,L/S momentum,-0.7200286193991791,-15.229222508440465,-78.17654199973131,-0.7152546056387208,-1.2139092450135027,98.55000000000001,97.89999999999999,-0.7289661073455052,0.008937487946326095,3
11,long-only contra,0.8353692393810737,16.364089515907622,-26.83439360645894,0.8324205574656779,0.3657799799072713,0.2,0.5,0.840165585177569,-0.004796345796495349,2
11,L/S contrarian,0.5343418921538796,13.037924585194837,-31.495916849736062,0.5328286796865802,0.013844540885718671,4.55,12.55,0.5498331102554528,-0.015491218101573168,2
11,L/S momentum,-0.6677126424859233,-14.205731797703846,-77.15739360143577,-0.6689006601413963,-1.2395135730545497,98.2,96.8,-0.6842694742769105,0.016556831790987214,3
12,long-only contra,0.7595284418769568,14.920951703894092,-35.890964561467534,0.7585774173680846,0.2945579151000873,0.44999999999999996,0.6,0.8456371348691607,-0.08610869299220392,2
12,L/S contrarian,0.4174030015296893,10.047289482345278,-47.41501533367677,0.4092998514052142,-0.10500718706378685,9.65,21.0,0.5476180571851696,-0.13021505565548036,2
12,L/S momentum,-0.5459493047219449,-11.772749014431804,-73.9455884940118,-0.5339052419364405,-1.115203232549697,95.0,93.0,-0.6749339013591191,0.1289845966371742,3
13,long-only contra,0.8961855617872835,17.829475517365623,-24.573890158369704,0.8790789114433868,0.40566758702757516,0.15,0.25,0.7532271502015386,0.14295841158574485,2
13,L/S contrarian,0.6357152121488121,15.688132752502938,-33.67902463096086,0.6367069574040176,0.12036617090422684,2.15,6.2,0.4089048436808925,0.22681036846791958,2
13,L/S momentum,-0.7626140050963335,-16.044911420571484,-82.69900975792955,-0.7681317040516417,-1.3003264867120756,99.6,98.55000000000001,-0.5258879377707875,-0.23672606732554602,3
14,long-only contra,0.7782640948830302,15.134136116374375,-22.529392614198606,0.7855140640059499,0.35073896173888697,0.2,0.3,0.7790997477664416,-0.0008356528834114751,2
14,L/S contrarian,0.4384170181188762,10.574831689922593,-31.031130963202326,0.436691514060602,-0.0453407586832414,7.6,12.65,0.45132092889477576,-0.012903910775899585,2
14,L/S momentum,-0.5493803384550402,-11.843292283255536,-74.10245394549445,-0.5540665452819056,-1.0681438104196874,97.25,93.65,-0.5643943232877314,0.01501398483269123,3
15,long-only contra,0.6397468246650941,12.60827876409676,-31.016562065110918,0.6252928073483215,0.19653877915681603,0.95,1.2,0.7894926411861181,-0.14974581652102392,2
15,L/S contrarian,0.24545746292112472,5.79300076324607,-42.60541754687096,0.24097698258882702,-0.2374371673180136,19.55,22.7,0.4630340585998071,-0.2175765956786824,2
15,L/S momentum,-0.3405094654202411,-7.515497982519459,-65.71604024321044,-0.3343537147516446,-0.7956401418805683,87.75,82.15,-0.5701520730378066,0.2296426076175655,3
16,long-only contra,0.8209381627364324,15.956503851994853,-27.258653665566534,0.8268305296422592,0.34350747882311133,0.1,0.5,0.6999950856635042,0.12094307707292817,2
16,L/S contrarian,0.5067080389794767,12.317607322893931,-35.403467323393464,0.49652529983685056,-0.04569484163053524,6.35,14.75,0.3282113129820332,0.17849672599744348,2
16,L/S momentum,-0.6085045179124062,-13.026642807936295,-79.97530104830281,-0.6034841204111971,-1.1808618383765948,96.45,95.1,-0.4248517672943387,-0.18365275061806752,3
17,long-only contra,0.6625827453377258,12.846418342635936,-32.37069039886299,0.6513288838951654,0.16773019112310816,0.8,1.0999999999999999,0.6831049902255434,-0.02052224488781762,2
17,L/S contrarian,0.27129596515206333,6.419970282797749,-43.202281388253425,0.2641248746439043,-0.25053138311139816,21.25,29.599999999999998,0.30142566406624105,-0.030129698914177716,2
17,L/S momentum,-0.3601094306874462,-7.930090384290322,-67.68525161166019,-0.3555219907055339,-0.9534470356776996,86.4,83.8,-0.39541654368144163,0.035307112993995415,3
18,long-only contra,0.719386677768167,13.924339712309507,-27.093113996701355,0.7226399486348927,0.27288372526197224,0.4,0.5,0.7006812906064782,0.01870538716168879,2
18,L/S contrarian,0.3576748057360685,8.546089936559653,-37.53301600129394,0.34667563484639274,-0.16140624687228441,13.5,21.85,0.32757378232853857,0.03010102340752996,2
18,L/S momentum,-0.44940783461462747,-9.797372059136379,-70.2361001055396,-0.4466722091652977,-0.9813894810515589,90.9,88.25,-0.42057639587152396,-0.02883143874310351,3
19,long-only contra,0.55234829573248,10.5916217613367,-29.45952942340907,0.5671247081117028,0.09575119851457511,2.55,1.6,0.6892330190653608,-0.13688472333288082,2
19,L/S contrarian,0.0958623486282943,2.223615127709566,-36.403121989830865,0.08770741990141051,-0.4316484427820402,39.300000000000004,47.5,0.31423395824580375,-0.21837160961750945,2
19,L/S momentum,-0.18324435677849168,-4.116616159187158,-56.43668419153376,-0.158411364177364,-0.7235987806462394,69.35,70.39999999999999,-0.40625306914253184,0.22300871236404016,3
20,long-only contra,0.7668559586192746,14.894878236491804,-24.062928476962476,0.7765247736549022,0.289547456481403,0.25,0.65,0.6251910870979253,0.14166487152134932,2
20,L/S contrarian,0.43642877655431994,10.519082033673488,-27.91110259205749,0.4483257725891474,-0.13420814306618686,10.299999999999999,21.25,0.21662409106588199,0.21980468548843796,2
20,L/S momentum,-0.5304472781077514,-11.454703154876478,-79.19769412135129,-0.5301800154371984,-1.1472426287211954,94.39999999999999,92.95,-0.3053412604427023,-0.22510601766504906,3
21,long-only contra,0.6081066945362762,11.729640403502305,-30.888746979381676,0.6099163795270166,0.145884220430459,1.4000000000000001,1.0,0.6124676339531155,-0.004360939416839349,2
21,L/S contrarian,0.1915362855407632,4.489951516069568,-35.61646731386527,0.20259789616106355,-0.35950503004613044,27.200000000000003,37.15,0.19924312907120903,-0.007706843530445817,2
21,L/S momentum,-0.2850477331603021,-6.329010364311449,-64.43857263898096,-0.2846637243401986,-0.8509154764531413,79.4,78.8,-0.2853671519693146,0.0003194188090125394,3
22,long-only contra,0.6209226803547782,12.102744440708712,-30.72099605507893,0.624928640777713,0.17015143606945393,1.4500000000000002,1.05,0.6379217933639229,-0.016999113009144695,2
22,L/S contrarian,0.22142292435840202,5.207583703885388,-31.49297235846611,0.2272561362466207,-0.2863277727807694,24.9,31.95,0.24409683794809434,-0.022673913589692313,2
22,L/S momentum,-0.30366511721738804,-6.728880355971634,-65.92427934920914,-0.30111522119832246,-0.8446087388953674,83.95,82.1,-0.33158359673942045,0.027918479522032413,3
23,long-only contra,0.5097436011059295,9.867101181321146,-32.90229781852141,0.5127566734378379,0.04506381053852809,3.5000000000000004,2.85,0.6640011430926986,-0.1542575419867691,2
23,L/S contrarian,0.043258466743819876,0.9971829976883617,-47.33533585897786,0.05572819097529354,-0.48358839034128714,43.6,53.75,0.29227143447141624,-0.24901296772759635,2
23,L/S momentum,-0.12411185577362753,-2.806166068467575,-59.7303464996214,-0.12293929742368927,-0.6926759559635335,65.25,70.5,-0.37583961236035107,0.25172775658672353,3
24,long-only contra,0.6669809191942109,13.180611327019399,-32.90229781852143,0.6758151827166687,0.1824672546887356,1.0999999999999999,1.3,0.6779266769044927,-0.010945757710281834,2
24,L/S contrarian,0.3051638229534743,7.247167035797286,-35.322035763486696,0.29255817906199044,-0.2582981784671665,18.8,29.599999999999998,0.3138650284249101,-0.008701205471435824,2
