etf,cfrm,entry,stop_k,tp_r,train_n,train_usd,train_pf,valid_n,valid_usd,valid_pf,oos_n,oos_usd,oos_pf
1,True,close,1.0,1.5,6261,-4.332842027747754,0.7230403972827174,1929,-5.3072130384619225,0.7776494589300295,1970,-3.6503220687663194,0.8043208531153678
1,True,close,1.0,2.0,5756,-4.4619467625859235,0.7443547291167617,1775,-5.028968115084061,0.8091840836531813,1802,-3.1844370863045626,0.8455903469051907
1,True,close,1.5,1.5,4863,-4.3801263220878175,0.8027696120978065,1492,-2.2210094390800985,0.9327572992025123,1497,-2.0843688684301407,0.9206574430471279
1,True,close,1.5,2.0,4211,-4.265593001743863,0.8277772395923815,1307,-2.1810027396359652,0.9404830561082662,1294,-1.1823287281121422,0.9599387652179338
1,True,edge,1.0,1.5,4293,-4.244476339847934,0.7276313880075409,1319,-2.9107113469346535,0.8709907171699572,1382,-2.428539213991423,0.8606249965560333
1,True,edge,1.0,2.0,4038,-4.817709120188773,0.7268043802618512,1235,-4.444153558193383,0.828861362826019,1290,-2.8459429577326008,0.8570721355700732
1,True,edge,1.5,1.5,3569,-4.643483148569431,0.791638429947848,1085,-0.5257922297741654,0.9837156319176938,1136,-4.062706087391599,0.8463073248457934
1,True,edge,1.5,2.0,3216,-5.051155530516024,0.7976349646562658,981,-1.0736248807059852,0.9699629897941452,989,-4.456595007736949,0.8483962702101706
1,False,close,1.0,1.5,6124,-4.0960451076742155,0.7261535059483599,1849,-4.81770813841509,0.788943526030216,1917,-4.142418715601994,0.7711949427693774
1,False,close,1.0,2.0,5582,-4.014249601247636,0.7583761646673399,1696,-3.6412813301083697,0.8538289564521133,1744,-3.5663229494816533,0.822365840909633
1,False,close,1.5,1.5,4801,-4.339259345624529,0.7955353843423576,1467,-3.1137263600180196,0.901537563462615,1460,-2.222299268159068,0.9122576963308598
1,False,close,1.5,2.0,4246,-3.7025155391768734,0.8417817513875782,1298,-3.0099587143858013,0.9147069606967498,1284,-2.2044977448938106,0.9223047211711302
1,False,edge,1.0,1.5,4568,-4.201619881665019,0.7197273884377262,1419,-3.892697315813173,0.8252569613808348,1479,-4.084606531580628,0.7669075640461293
1,False,edge,1.0,2.0,4295,-4.599000310366568,0.7274680320961693,1346,-4.345771578889859,0.8263336497770524,1371,-4.709914996056462,0.763158099384177
1,False,edge,1.5,1.5,3821,-4.571972326045424,0.786358134428657,1184,-3.0170452808616144,0.9047988162050423,1175,-3.3703561321989994,0.8659030466352099
1,False,edge,1.5,2.0,3436,-4.586285092977912,0.807892571475426,1057,-4.445509586967023,0.8753287691249926,1058,-4.0319919599801555,0.8588536421003006
5,True,close,1.0,1.5,1269,-2.0557895722903754,0.9314733889680914,423,3.160229278282803,1.0730434347210418,442,-2.3670551574423633,0.9388041380407235
5,True,close,1.0,2.0,1170,-1.145663664999066,0.965410312084172,394,5.897772768440006,1.1229425133462323,402,-2.7018707562709054,0.9370838712450316
5,True,close,1.5,1.5,1017,-1.221393558275265,0.9713039383083455,345,6.179557040610479,1.1001250743663178,347,-6.686502753913541,0.8831212643064678
5,True,close,1.5,2.0,923,-1.8184891632307492,0.9612214395663068,304,12.624712508342643,1.1957386414081563,310,2.994635318189101,1.0503393962967027
5,True,edge,1.0,1.5,885,-3.7706469192486414,0.8756357648726442,296,-4.469504542847934,0.9019894621820158,303,-5.716638844441109,0.8490974341402165
5,True,edge,1.0,2.0,836,-3.287464425787225,0.9015806775938194,285,-3.9856676239314837,0.9188142933339355,283,-9.549910394557603,0.7803359164383746
5,True,edge,1.5,1.5,744,-3.8980095340544354,0.9096534765663276,255,4.451653060953587,1.0727250113794413,250,-3.6180859231598945,0.9326635432680547
5,True,edge,1.5,2.0,686,-4.010957566388835,0.9141834985200291,243,10.313116347940943,1.1577094006735251,230,0.7386942189689795,1.013034205503425
5,False,close,1.0,1.5,1152,-1.5533776569045306,0.9449921773490403,394,-3.502473433169882,0.9221324074943544,428,-3.9616457676269223,0.8934419668066057
5,False,close,1.0,2.0,1056,-2.427981658034648,0.9238096565762582,371,-2.5085076290888355,0.9495491221087792,403,-4.46056912960502,0.8927284117013962
5,False,close,1.5,1.5,936,-2.098060288254605,0.949031275515374,334,11.442536584343298,1.202632718194329,337,-2.4703122790309715,0.9527273209805425
5,False,close,1.5,2.0,854,-3.9471946477755604,0.9135551151623039,295,18.44936230554599,1.3164885736979353,310,1.4751421784381926,1.0263287723935453
5,False,edge,1.0,1.5,892,-3.4308016013964235,0.8803371038492102,310,-10.65505664799834,0.7746933700752313,335,-3.1971856722030725,0.9114025901163043
5,False,edge,1.0,2.0,834,-4.556210957015442,0.8583135232700315,292,-7.3659697358097596,0.8562486176875609,316,-1.991315520449827,0.9498402542844371
5,False,edge,1.5,1.5,747,-4.541629813445259,0.890864552222273,266,2.4404316165629556,1.0412145861446893,279,-6.2694291329594884,0.8835858834839827
