etf,cfrm,cost,entry,stop_k,tp_r,sig,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
1,True,net,close,1.0,1.5,15058,0.6747243989905698,6261,-0.2572647810003545,-4.332842027747754,-27127.923935728686,0.7230403972827174,0.4061651493371666,27.84943148263695,-26.344547658976452,27294.54319135954,-0.9938955103786606,-8.113416775567137,-10.84448750331446,34.869758285596326,-34.60419959031453
1,True,gross,close,1.0,1.5,15058,0.6747243989905698,6261,0.016125108381574185,0.41448906952174247,2595.1160642756295,1.0327585390641105,0.4064845871266571,32.147208623238726,-21.31849566250456,2037.013190933274,1.2739809814813503,0.7855025888724656,1.2438030978499366,39.18975828559633,-29.564199590313365
1,True,net,close,1.0,2.0,15058,0.6198034267499004,5756,-0.2592816886428694,-4.4619467625859235,-25682.965565444574,0.7443547291167617,0.33895066018068104,38.3292294729138,-26.40296774430996,25891.041143935887,-0.9919634140112574,-7.210260226210781,-10.440197430833578,44.291742819601204,-35.37429010702028
1,True,gross,close,1.0,2.0,15058,0.6198034267499004,5756,0.01683861609102722,0.33400876208475444,1922.5544345598464,1.02365170204323,0.33895066018068104,42.6492294729138,-21.362967744308804,2054.526732473856,0.9357651103643213,0.544881667274408,0.9499797710831768,48.611742819601204,-30.334290107019115
1,True,net,close,1.5,1.5,15058,0.5214503918183025,4863,-0.16601808463855497,-4.3801263220878175,-21300.554304313056,0.8027696120978065,0.40612790458564674,43.89761253123042,-37.39554676367491,22085.15150779688,-0.9644739949731913,-5.090547898702899,-7.438067145662526,54.197216978734396,-49.632266191334494
1,True,gross,close,1.5,1.5,15058,0.5214503918183025,4863,0.0151765423909451,0.3674615866112067,1786.9656956902982,1.0191236278377622,0.40612790458564674,48.21761253123042,-32.35554676367375,2781.959572716718,0.642340641185249,0.42767370281080036,0.6786595677101954,58.517216978734396,-44.59226619133333
1,True,net,close,1.5,2.0,15058,0.4523841147562757,4211,-0.16431038314359708,-4.265593001743863,-17962.412130343408,0.8277772395923815,0.34029921633816196,60.247828912180246,-37.544114816953815,18934.35957375822,-0.9486675300725845,-3.7181018926752687,-5.6574616019859825,69.36585021133186,-51.43940447190136
1,True,gross,close,1.5,2.0,15058,0.4523841147562757,4211,0.018433938895993093,0.5293915624934258,2229.267869659816,1.0246883276107608,0.34029921633816196,64.56782891218025,-32.50411481695266,2985.698553317503,0.7466486752933603,0.4658879631989728,0.7628623846858046,73.68585021133185,-46.3994044719002
1,True,net,edge,1.0,1.5,15058,0.4644707132421304,4293,-0.24734535097142585,-4.244476339847934,-18221.536926967183,0.7276313880075409,0.4090379687863965,27.721380972421255,-26.369839146448125,18441.541475807775,-0.9880701648975927,-6.646436091209107,-10.509932048425418,34.840942686111966,-34.073717034457076
1,True,gross,edge,1.0,1.5,15058,0.4644707132421304,4293,0.02828781262186452,0.5010163226265468,2150.8630730357654,1.0397470330477372,0.4090379687863965,32.04138097242125,-21.329839146446965,1336.2428985505867,1.609634801703187,0.7912085109941458,1.5271129097166525,39.160942686111966,-29.03371703445591
