feed,block,n,pts,pct,pf,win,stop,tgt,flat,mde,win_name,flat_on
US30L,A_research,1722,0.265,0.00163,1.005,0.5128,0.487,0.513,0.0,0.02454,all hours,False
US30L,B_holdout,870,-11.026,-0.03008,0.802,0.4563,0.544,0.456,0.0,0.02497,all hours,False
US30L,A_research,669,-0.945,-0.0069,0.981,0.5067,0.493,0.507,0.0,0.04034,07:00-11:00,False
US30L,B_holdout,334,-13.068,-0.03562,0.769,0.4461,0.554,0.446,0.0,0.04012,07:00-11:00,False
US30L,A_research,732,-1.831,-0.00918,0.946,0.474,0.264,0.28,0.441,0.02882,07:00-11:00,True
US30L,B_holdout,340,-10.139,-0.02713,0.773,0.4647,0.385,0.306,0.303,0.03406,07:00-11:00,True
US30L,A_research,688,-2.871,-0.01254,0.944,0.4971,0.503,0.497,0.0,0.03971,08:00-12:00,False
US30L,B_holdout,361,-11.985,-0.0337,0.786,0.4515,0.548,0.452,0.0,0.03889,08:00-12:00,False
US30L,A_research,767,-6.547,-0.02459,0.821,0.4446,0.274,0.252,0.452,0.02788,08:00-12:00,True
US30L,B_holdout,366,-11.489,-0.03203,0.75,0.4563,0.399,0.311,0.287,0.03327,08:00-12:00,True
US30L,A_research,395,5.558,0.02162,1.118,0.5392,0.461,0.539,0.0,0.05257,09:30-11:00,False
US30L,B_holdout,182,-5.587,-0.01709,0.894,0.4835,0.516,0.484,0.0,0.05473,09:30-11:00,False
US30L,A_research,422,-0.506,-0.00167,0.982,0.4692,0.18,0.201,0.588,0.03276,09:30-11:00,True
US30L,B_holdout,186,-1.703,-0.00523,0.949,0.5161,0.263,0.253,0.473,0.04083,09:30-11:00,True
US30L,A_research,524,-0.382,-0.00331,0.992,0.5095,0.49,0.51,0.0,0.04587,09:30-12:00,False
US30L,B_holdout,255,-7.388,-0.02121,0.863,0.4745,0.525,0.475,0.0,0.04658,09:30-12:00,False
US30L,A_research,581,-4.443,-0.01583,0.859,0.463,0.213,0.21,0.546,0.02928,09:30-12:00,True
US30L,B_holdout,260,-4.761,-0.01445,0.878,0.4962,0.319,0.292,0.385,0.03753,09:30-12:00,True
US30L,A_research,885,0.309,-0.00012,1.006,0.513,0.487,0.513,0.0,0.0345,09:30-16:00,False
US30L,B_holdout,450,-6.29,-0.01795,0.882,0.48,0.52,0.48,0.0,0.03501,09:30-16:00,False
US30L,A_research,988,0.997,0.00426,1.027,0.498,0.273,0.317,0.387,0.02721,09:30-16:00,True
US30L,B_holdout,460,-5.258,-0.01533,0.884,0.4696,0.389,0.378,0.209,0.03107,09:30-16:00,True
US30L,A_research,353,5.925,0.02112,1.126,0.5411,0.459,0.541,0.0,0.05527,13:00-16:00,False
US30L,B_holdout,167,0.704,0.00142,1.014,0.515,0.485,0.515,0.0,0.05753,13:00-16:00,False
US30L,A_research,372,2.363,0.00591,1.075,0.5188,0.164,0.255,0.522,0.04126,13:00-16:00,True
US30L,B_holdout,167,-7.189,-0.02043,0.807,0.4491,0.269,0.246,0.419,0.04377,13:00-16:00,True
US30I,C_forward,457,1.43,0.00369,1.029,0.5186,0.481,0.519,0.0,0.0271,all hours,False
US30I,C_forward,175,-5.147,-0.0101,0.902,0.4857,0.514,0.486,0.0,0.0441,07:00-11:00,False
US30I,C_forward,175,-5.502,-0.0112,0.883,0.4686,0.423,0.377,0.2,0.0407,07:00-11:00,True
US30I,C_forward,171,-12.232,-0.02531,0.782,0.4503,0.55,0.45,0.0,0.04438,08:00-12:00,False
US30I,C_forward,171,-9.142,-0.0195,0.809,0.4269,0.409,0.363,0.222,0.04039,08:00-12:00,True
US30I,C_forward,98,-8.412,-0.01746,0.845,0.4694,0.531,0.469,0.0,0.05886,09:30-11:00,False
US30I,C_forward,98,-7.422,-0.01555,0.829,0.4592,0.367,0.286,0.347,0.05032,09:30-11:00,True
US30I,C_forward,135,-8.957,-0.01827,0.836,0.4667,0.533,0.467,0.0,0.04991,09:30-12:00,False
US30I,C_forward,135,-5.146,-0.01094,0.882,0.437,0.356,0.363,0.274,0.04385,09:30-12:00,True
US30I,C_forward,198,-2.29,-0.0046,0.955,0.5,0.5,0.5,0.0,0.04123,09:30-16:00,False
US30I,C_forward,198,-2.957,-0.00606,0.935,0.5,0.419,0.414,0.162,0.03802,09:30-16:00,True
US30I,C_forward,49,3.832,0.00684,1.08,0.5306,0.469,0.531,0.0,0.08343,13:00-16:00,False
US30I,C_forward,49,-0.641,-0.00245,0.981,0.5102,0.286,0.286,0.408,0.06478,13:00-16:00,True
