feed,block,arm,n,pts,pct,pf,ctl,p,boot,mde
US30L,A_research,as submitted,1722,0.265,0.00163,1.005,-0.00894,0.068,0.416,0.02454
US30L,B_holdout,as submitted,870,-11.026,-0.03008,0.802,-0.00863,0.996,1.0,0.02497
US30L,A_research,+ 13:00-16:00,353,5.925,0.02112,1.126,-0.00837,0.024,0.15,0.05527
US30L,B_holdout,+ 13:00-16:00,167,0.704,0.00142,1.014,-0.01241,0.308,0.47,0.05753
US30L,A_research,+ breakeven 25 / secure 5,2184,3.472,0.01216,1.164,-0.0016,0.004,0.008,0.01472
US30L,B_holdout,+ breakeven 25 / secure 5,1097,-0.357,-0.00174,0.983,-0.00179,0.5,0.64,0.01442
US30I,C_forward,as submitted,457,1.43,0.00369,1.029,-0.00597,0.108,0.337,0.0271
US30I,C_forward,+ 13:00-16:00,49,3.832,0.00684,1.08,-0.00626,0.288,0.408,0.08343
US30I,C_forward,+ breakeven 25 / secure 5,528,1.772,0.00395,1.079,0.00041,0.268,0.267,0.01699
