h,target,vol,hmm.p_bear,hmm.p_side,hmm.p_bull,hmm.sig,hmm.sojourn,hmm.entropy
4,mag,0.4604257344883823,0.29820950710726096,-0.24840801551985583,0.012502191848105913,-0.1392104216375917,-0.27344581420090786,0.08337893869775827
4,rv,0.6471986267744128,0.4177351114741039,-0.3488901959235819,0.01902390384773209,-0.18622469706000802,-0.38299271606860974,0.11042560343109917
4,rng,0.4983003452214926,0.08098969584805428,-0.014011814477213544,-0.04024900809211136,-0.07780675368840788,-0.038124341535446,0.04910591736675682
4,er,0.0274327958806224,0.0064754368532126995,-0.0005762907719140347,0.00048442383543327437,-0.00786508467454927,-0.003582267207196107,0.013332831451323034
4,mfe,0.2705125699011375,0.056581929676554656,-0.02187184534806512,-0.02525094577821121,-0.04699737477881694,-0.034041624248923784,0.020832750507916227
4,mae,0.2673366827777725,0.027228807828690235,0.008390198122041009,-0.020054517150164864,-0.036235117548307126,-0.003961794891812131,0.026961989475249144
4,ttb,0.4233674068527094,-0.08598969023144191,0.02555999697688785,0.030996175676318582,0.07189898691051035,0.04851561148805738,-0.04774133773447038
4,dir,0.0230613072742808,0.018874262215486524,-0.017081573223046785,-0.004691086906733744,-0.009346393083326753,-0.017918175983259916,0.0008460743949538283
16,mag,0.3599582913084532,0.24805870194989574,-0.21766160612831895,0.018349604165439053,-0.10495202450021442,-0.23373778962295275,0.05612862312620821
16,rv,0.5977064705010295,0.42821110742932555,-0.37548402359169436,0.017397400664576124,-0.19313613494366727,-0.40211663709652046,0.08839344906674264
16,rng,0.5415136358870777,-0.01826170351864665,0.042854437035796354,-0.02786286344182227,-0.017410017791758492,0.03670401339133357,3.723487078750946e-05
16,er,0.0476247142198359,0.01053211121738607,-0.00429347020372389,0.008516998361350177,0.0034053477258952284,-0.0076559952595948635,0.014952885401584534
16,mfe,0.3318640334441779,0.015777598557400793,-0.00504149493390978,-0.0128338419033115,-0.013777295843972201,-0.0064814299880457515,0.0026086674417371168
16,mae,0.3027068168614867,-0.03298021961281436,0.048514845403453306,-0.019640826150004665,-0.009747105587283396,0.04471682776168786,-0.0057771059863148295
16,ttb,0.4416231245708489,-0.08791887100664461,0.025831078248414043,0.030362185407263806,0.07248807849527389,0.0488508986677627,-0.050839708602909435
16,dir,0.0466852565318915,0.0403613946947184,-0.04197981661114045,0.008917029036222887,-0.0023071189786078466,-0.041969219166796176,0.012354317911079769
48,mag,0.1807699039292321,0.13623836903419242,-0.1584701549919751,0.029584435391182728,-0.03706616308493346,-0.15456932186528752,-0.015843661658256535
48,rv,0.3629490024093698,0.3060533198702933,-0.348304672311913,0.028421072878736305,-0.1297893579204826,-0.3363019323739478,-0.041465772055423705
48,rng,0.6819702794421812,-0.19157969172586078,0.1459073712388977,-0.02012732691645942,0.07325274705817443,0.16978712656959163,-0.09731387708792755
48,er,0.0411883069659166,-0.011493912150226913,0.013194247867596232,0.009627648116310374,0.02095100386494144,0.009959527253389057,0.0026847254854114604
48,mfe,0.4227923325199888,-0.07542412279282495,0.038710946698548146,0.0007115526762976897,0.053481847763832684,0.05597156493607506,-0.04884565978473693
48,mae,0.43291235461695,-0.14557316102505713,0.12737103411764367,-0.03732728661925404,0.02242068368285764,0.13983281178394105,-0.0738500991536946
48,ttb,0.4415709826504526,-0.08767322797992552,0.025862966455768882,0.030085417002646293,0.07221364688664879,0.04879008349003754,-0.0506483223437106
48,dir,0.0675721227997161,0.060968856766628624,-0.06564684749713845,0.005561125051987432,-0.0014881397938425725,-0.0664203007471433,0.005029957405201662
96,mag,0.1743013709342593,0.1351063117495605,-0.16364936059308585,0.06548120075981255,-0.004458989276672186,-0.1604935016321114,0.00429396414999138
96,rv,0.5064442563659225,0.4283838210542688,-0.4780906510559517,0.07943093806644955,-0.13502280757027962,-0.46722186601005516,0.018327235507775222
96,rng,0.6879301050221698,-0.302222777197619,0.24157963767672322,-0.011685517581470238,0.14107966630018132,0.2720017441034125,-0.10343820633516757
96,er,0.0486498187621953,-0.029367462402269243,0.018153313699695316,0.03578777269317655,0.048552920434684954,0.017147510145287807,-0.0008755153808349364
96,mfe,0.3466891952718004,-0.10053266381944193,0.04700588325255955,0.017280280448468233,0.08810792066215908,0.06739258328101996,-0.051676315525189954
96,mae,0.3681336445127314,-0.18918125195040617,0.18566659375692735,-0.04413786124861088,0.03998755894980321,0.1953484266766499,-0.04956976330684667
96,ttb,0.4415697523888376,-0.08767125638629747,0.025861290031531994,0.03008093384989645,0.07220929040176403,0.04878832728579073,-0.050652916576202224
96,dir,0.104419905372793,0.06856454592876735,-0.09783758288991187,0.020255427502397727,-0.004195750700088722,-0.091043476368605,-0.02920164972507117
