h,target,real,free_p95,blk_p95,blk_max,nwt,clears
4,mag,0.4604257344883823,0.013845963556544,0.038359369447892484,0.04037718754486859,42.088766127951686,True
4,rv,0.6471986267744128,0.0148886119164041,0.04717472928744477,0.058620233007600296,49.361992717801655,True
4,rng,0.4983003452214926,0.0135662726314582,0.03922378978428968,0.05218302852942891,62.17165086207535,True
4,er,0.027432795880622494,0.0149256102094976,0.02020079120060786,0.0221642529631585,4.41464733054299,True
4,mfe,0.2705125699011375,0.0135973711903707,0.0316786069175274,0.039155566221781964,36.473571296280085,True
4,mae,0.26733668277777256,0.013433356952343,0.02993286316943383,0.03389416062760932,35.21699456892163,True
4,ttb,0.4233674068527094,0.0149026065779498,0.037068060334216425,0.049220264833094725,-91.37849813506723,True
4,dir,0.023061307274280865,0.0142885070535028,0.02320405531403023,0.024636507136285513,3.0501069037654887,False
16,mag,0.35995829130845325,0.0133246834420934,0.06184822390541513,0.06329247242662298,25.811723153022797,True
16,rv,0.5977064705010295,0.0130390217648683,0.08583107499386619,0.12266588071136424,42.734351042393115,True
16,rng,0.5415136358870777,0.0135617547541273,0.07808179261933311,0.0924034955867276,-35.72300221543611,True
16,er,0.047624714219835995,0.0166811825427908,0.034432833555253124,0.041968478758904006,4.21287221380666,True
16,mfe,0.3318640334441779,0.0136204076801052,0.0716080803052856,0.07970177032758882,-22.429638860332794,True
16,mae,0.30270681686148676,0.0143417222547282,0.06357870270229236,0.07330839665998812,-20.574361159172728,True
16,ttb,0.44162312457084896,0.0143304460104757,0.07098073391011694,0.08227169308366038,-45.39732922217522,True
16,dir,0.0466852565318915,0.0134213834423081,0.044780157245403025,0.0544776448946234,3.0953469985343887,False
48,mag,0.1807699039292321,0.016756757822206,0.06775874841691558,0.07687032487492534,14.657636273878206,True
48,rv,0.36294900240936984,0.0128084559938876,0.12387412292696313,0.13397681706543393,29.37597755015959,True
48,rng,0.6819702794421812,0.0148433737386839,0.1728293127619739,0.18290421319144579,-14.950898058746143,True
48,er,0.04118830696591664,0.0139027604118,0.055493006828707454,0.05981117837183356,-2.5083969874985197,False
48,mfe,0.4227923325199888,0.0147577624840416,0.09741810089920122,0.11576828984005338,-20.642083480719002,True
48,mae,0.43291235461695,0.0131197518246216,0.10628296088375375,0.1116846589583083,-12.650838083695252,True
48,ttb,0.4415709826504526,0.0114518857004548,0.09173022059954557,0.10951605108827611,-30.164980345393463,True
48,dir,0.06757212279971617,0.0137690991410589,0.0655203629838631,0.0730911979391818,2.7947784805375324,False
96,mag,0.17430137093425938,0.0155585655093053,0.10036808760639272,0.1069029607895182,4.853967072366865,True
96,rv,0.5064442563659225,0.0127964388642201,0.15162006964071478,0.21653758075334373,12.353243700602363,True
96,rng,0.6879301050221698,0.0139080575505966,0.13805590772238405,0.18990615993294785,-14.528926499481791,True
96,er,0.04864981876219537,0.0125028520160124,0.08649070613969097,0.10140089935758154,-2.684419393107551,False
96,mfe,0.3466891952718004,0.0135966912553312,0.10138086580623114,0.1178647560280472,-18.418240162635836,True
96,mae,0.3681336445127314,0.0132926211769486,0.10097987634714731,0.10733527635406169,-10.93966157910279,True
96,ttb,0.44156975238883767,0.0142745334584921,0.13441085010191398,0.1488858947458005,-29.116707473011267,True
96,dir,0.10441990537279307,0.0128904598745631,0.10511656084916915,0.11075938548072611,3.194717992030095,False
