h,target,base_ic,base_t,feat,ic,t,shuf,beats
4,mag,0.29303367912968553,32.066797865020064,gk5,0.4604257344883823,42.088766127951686,-0.0017972368412162837,True
4,rv,0.5413981410712615,45.436809203468854,gk5,0.6471986267744128,49.361992717801655,-0.004100848367622976,True
4,rng,0.49024302633246397,52.248107312605626,ts_park_5_20,0.4983003452214926,62.17165086207535,-0.001843894679134113,True
4,er,0.004412471130686347,0.773167314869008,ts_cc_20_120,0.027432795880622494,4.41464733054299,0.0021409776006789537,True
4,mfe,0.14776063526744226,19.20360422186547,ts_park_5_20,0.2705125699011375,36.473571296280085,-0.0027914890949865432,True
4,mae,0.10859066142816685,13.945263606684742,ts_park_5_20,0.26733668277777256,35.21699456892163,0.0026794675190424913,True
4,ttb,,,ts_park_5_20,-0.4233674068527094,-91.37849813506723,0.0018166693166073455,
4,dir,-0.01654883563950983,-2.7574397342296586,park20,0.023061307274280865,3.0501069037654887,-0.0001549894934443089,True
16,mag,0.17487860463581728,11.010900605872667,ts_park_5_60,0.35995829130845325,25.811723153022797,0.0018017176482626397,True
16,rv,0.4473440187247932,22.729884639923718,ts_park_5_60,0.5977064705010295,42.734351042393115,0.0015305050566094464,True
16,rng,0.04699521484962322,1.276938295952226,pct_cc60_250,-0.5415136358870777,-35.72300221543611,-0.0014343491714708932,True
16,er,0.013741338227884755,0.9513576487569491,ts_cc_10_60,0.047624714219835995,4.21287221380666,0.006560851402723924,True
16,mfe,0.023132850973006616,0.5567268977868517,pct_cc60_250,-0.3318640334441779,-22.429638860332794,0.010914774471669945,True
16,mae,-0.02605556737198633,-1.633676052401512,pct_cc60_250,-0.30270681686148676,-20.574361159172728,0.0029337754283402964,True
16,ttb,,,ts_park_5_20,-0.44162312457084896,-45.39732922217522,-0.004879666461740219,
16,dir,0.006462315312123626,0.6123094091364332,semiu120,0.0466852565318915,3.0953469985343887,0.004009381199994626,True
48,mag,-0.022168239151937885,0.7614743824000568,ts_park_5_20,0.1807699039292321,14.657636273878206,0.0015947181868491474,True
48,rv,-0.11169359052793079,1.2791347898433911,ts_park_5_20,0.36294900240936984,29.37597755015959,0.0021013677057041217,True
48,rng,0.09388693807051256,5.8551034438026806,gk20,-0.6819702794421812,-14.950898058746143,-0.009516895794585173,True
48,er,0.004576519756874148,-0.2490473388658565,z_cc60_500,-0.04118830696591664,-2.5083969874985197,0.0025963843962549522,True
48,mfe,9.091839127534354e-06,-0.4906149785516618,ts_park_20_120,-0.4227923325199888,-20.642083480719002,-0.001896485951199375,True
48,mae,0.0329177034027325,2.610131136717918,gk20,-0.43291235461695,-12.650838083695252,-0.0037268394351632076,True
48,ttb,,,ts_park_5_20,-0.4415709826504526,-30.164980345393463,0.004365129784855599,
48,dir,0.005151094683103131,0.30180173682589906,cc120,0.06757212279971617,2.7947784805375324,-0.015224683249550872,True
96,mag,0.01714026817701169,1.420691766399302,gk120,0.17430137093425938,4.853967072366865,-0.0083336748915892,True
96,rv,0.4901752434992636,11.687078307225772,gk120,0.5064442563659225,12.353243700602363,-0.00414743657196264,True
96,rng,0.5266528650211685,17.02556199744415,park20,-0.6879301050221698,-14.528926499481791,-0.0005007194698311785,True
96,er,-0.04400761911277244,-2.3105564609940217,semi_ratio120,-0.04864981876219537,-2.684419393107551,0.000911855832868786,True
96,mfe,0.10687758370756581,2.8576284728546093,ts_park_20_120,-0.3466891952718004,-18.418240162635836,-0.010032278904663005,True
96,mae,0.1377688638168533,5.129350243320891,park20,-0.3681336445127314,-10.93966157910279,-0.0029331548882425306,True
96,ttb,,,ts_park_5_20,-0.44156975238883767,-29.116707473011267,-0.004455737197429718,
96,dir,-0.013192513618210526,-0.4829203207844842,cc120,0.10441990537279307,3.194717992030095,-0.003889241525088416,True
