model,ic,ic_shuf,R@30,PF@30,p90@30,shufPF@30,R@50,PF@50,p90@50,shufPF@50,R@70,PF@70,p90@70,shufPF@70
ridge,-0.011607450070485642,-0.07431856584576581,-0.01836689932643273,0.9576114447922919,1.4383692454510333,0.8923862442968669,-0.01663412864759577,0.9598272102471402,1.3537243534784695,0.943727757351277,-0.006387132832507107,0.9845160971285994,1.3581204404448086,1.0475752151902533
rf,-0.09464286833917832,-0.06850749236790202,-0.19424106014734954,0.6137950688743217,0.8651228858338235,1.0604361190240374,-0.08528827522387263,0.8101172296499833,1.162879757716144,1.0164460475154429,-0.01678850671878078,0.959716609499395,1.3032778974175763,1.0050023246828192
lgbm,-0.0795442042549713,-0.0711275960361477,-0.13827028804446276,0.6892761116398637,0.9140135338614794,0.8252995608771923,-0.09914222995655268,0.7773844901982176,1.0812007591721935,1.0187864678680265,-0.0325633751376306,0.9218159017302836,1.257425853631318,1.0412839862742693
xgb_d3,-0.10153533278363815,-0.05583556006073177,-0.12829149059189995,0.7091602232842991,0.8680822377623166,0.8988545107227367,-0.11949379725784488,0.738446021826704,0.9936191681393746,0.9831328479038604,-0.0660323432238069,0.8472641037831533,1.1572938099748977,1.0466123975492412
xgb_d6,-0.07431427011438291,-0.051427061159095455,-0.07295598726983878,0.831888788924481,1.0408825495199605,0.9914237817010187,-0.06178747035713992,0.8550740312220264,1.189370285756856,0.9704279276334873,-0.05793098959144832,0.8638096518388203,1.169626158873895,1.042212862665534
mlp_2x32,0.03093646816189439,-0.06089060309491178,0.033096483464944516,1.0828587075573834,1.3926818262948597,0.9310772614210708,0.013486670655490137,1.033981136761574,1.3537243534784695,0.9461053626850209,0.016534279852532044,1.0413389978316194,1.3581204404448086,1.0190400784609313
mlp_2x64,-0.013910163168512459,-0.06641238191377175,-0.07916868760976582,0.8254439076972451,1.1813629122758134,0.9094070579324378,0.016286828690029787,1.039693263152848,1.4057020239920683,0.9744432432346247,-0.006373944115571188,0.9844146883948169,1.316867953068595,0.9675172580395723
mlp_4x128,0.017508871005200596,-0.06917008608408055,0.02672396966585151,1.063659910505684,1.474619211687556,0.9035662707271163,0.020693620206780478,1.0519911369576573,1.388052799299065,0.945777631018246,0.013991037773544433,1.0358975331385687,1.2866072700648399,1.0016734617488159
