k,w,block,n,per_yr,pts,pf,win,sharpe,p90_R
3,20,research,380,192.67605633802816,2.3098236060559962,1.1181786164881566,0.5236842105263158,0.5505298690104634,1.3762888836392198
3,20,LOCKED,179,167.68773234200745,11.411132143533422,1.4673597062364419,0.6033519553072626,1.7513367788713232,1.4769121336261997
3,40,research,383,194.19718309859155,2.0278475251563095,1.1027399035121,0.5221932114882507,0.48583208134626216,1.3739121175505036
3,40,LOCKED,181,169.56133828996283,11.301948362941891,1.462115417981996,0.6022099447513812,1.7521804947825306,1.438758519760851
2,40,research,548,277.85915492957747,-1.3027938134727048,0.9359724054103963,0.5091240875912408,-0.4228302043519302,1.4672188267853687
2,40,LOCKED,252,236.07434944237917,9.755714581914292,1.4139428753383578,0.5833333333333334,1.9088421612040214,1.4045454343925956
4,40,research,288,146.0281690140845,-0.591441512677072,0.9713695860525481,0.4930555555555556,-0.12723932547488975,1.0608731377831546
4,40,LOCKED,134,125.53159851301116,9.388897255131061,1.3732768020425326,0.5746268656716418,1.2880189575834942,1.1747305576357363
3,60,research,383,194.19718309859155,2.0278475251563095,1.1027399035121,0.5221932114882507,0.48583208134626216,1.3739121175505036
3,60,LOCKED,181,169.56133828996283,11.301948362941891,1.462115417981996,0.6022099447513812,1.7521804947825306,1.438758519760851
