model,obj,keep,R,pf,win,p90,p_ctl
ridge,R,0.3,-0.01836689932643273,0.9576114447922919,0.5304878048780488,1.4383692454510333,0.7366666666666667
ridge,R,0.5,-0.01663412864759577,0.9598272102471402,0.5182481751824818,1.3537243534784695,0.8066666666666666
ridge,win,0.3,0.004829581468344313,1.0113020909041812,0.5457317073170732,1.5183913485831109,0.5566666666666666
ridge,win,0.5,0.020106166262792085,1.0471045689469227,0.5145985401459854,1.4672188267853687,0.43333333333333335
rf,R,0.3,-0.19424106014734954,0.6137950688743217,0.45121951219512196,0.8651228858338235,1.0
rf,R,0.5,-0.08528827522387263,0.8101172296499833,0.4835766423357664,1.162879757716144,1.0
rf,win,0.3,-0.1068181854456444,0.7737304994990477,0.46646341463414637,1.1796968797191454,0.99
rf,win,0.5,-0.03119515164583951,0.9292953929918757,0.4927007299270073,1.388052799299065,0.8916666666666667
lgbm,R,0.3,-0.13827028804446276,0.6892761116398637,0.4817073170731707,0.9140135338614794,0.9983333333333333
lgbm,R,0.5,-0.09914222995655268,0.7773844901982176,0.4854014598540146,1.0812007591721935,1.0
lgbm,win,0.3,-0.10017257345487696,0.7853869989120258,0.4634146341463415,1.2061032722799625,0.99
lgbm,win,0.5,-0.027437377528614502,0.9370957025627344,0.4981751824817518,1.296749211402313,0.895
xgb_d3,R,0.3,-0.12829149059189995,0.7091602232842991,0.47560975609756095,0.8680822377623166,0.9933333333333333
xgb_d3,R,0.5,-0.11949379725784488,0.738446021826704,0.46897810218978103,0.9936191681393746,1.0
xgb_d3,win,0.3,-0.10873892986090511,0.7612755500015626,0.46646341463414637,1.0337244562291252,0.9933333333333333
xgb_d3,win,0.5,-0.019056100853477018,0.9555428968584067,0.5018248175182481,1.326711498685104,0.8483333333333334
xgb_d6,R,0.3,-0.07295598726983878,0.831888788924481,0.49085365853658536,1.0408825495199605,0.955
xgb_d6,R,0.5,-0.06178747035713992,0.8550740312220264,0.5,1.189370285756856,0.985
xgb_d6,win,0.3,-0.11020666144208657,0.7620778983819742,0.4603658536585366,1.090805029199685,0.9966666666666667
xgb_d6,win,0.5,-0.0541901366475739,0.881321444717122,0.4744525547445255,1.2858791435782007,0.9733333333333334
mlp_2x32,R,0.3,0.033096483464944516,1.0828587075573834,0.5487804878048781,1.3926818262948597,0.35
mlp_2x32,R,0.5,0.013486670655490137,1.033981136761574,0.5291970802919708,1.3537243534784695,0.47833333333333333
mlp_2x32,win,0.3,0.04617467142455482,1.1152531194755875,0.5487804878048781,1.442332290775297,0.25833333333333336
mlp_2x32,win,0.5,0.00973824654987437,1.0232995315855737,0.5164233576642335,1.4654135212066839,0.5783333333333334
mlp_2x64,R,0.3,-0.07916868760976582,0.8254439076972451,0.4878048780487805,1.1813629122758134,0.9566666666666667
mlp_2x64,R,0.5,0.016286828690029787,1.039693263152848,0.5127737226277372,1.4057020239920683,0.43833333333333335
mlp_2x64,win,0.3,0.03480334306547213,1.0802811142877002,0.5182926829268293,1.5471965555602771,0.31666666666666665
mlp_2x64,win,0.5,0.02031625699126057,1.048488341491012,0.5255474452554745,1.4590505385400516,0.44333333333333336
mlp_4x128,R,0.3,0.02672396966585151,1.063659910505684,0.5426829268292683,1.474619211687556,0.41
mlp_4x128,R,0.5,0.020693620206780478,1.0519911369576573,0.5200729927007299,1.388052799299065,0.39666666666666667
mlp_4x128,win,0.3,0.03965370254487192,1.0974232638841501,0.5365853658536586,1.3634679314868094,0.3383333333333333
mlp_4x128,win,0.5,-0.00011140412958603398,0.9997373378216202,0.5072992700729927,1.388052799299065,0.6466666666666666
