bar.body_share
bar.close_pos
bar.gap
bar.lower_wick
bar.upper_wick
ctx.atr_rank_day
ctx.bars_since_hi
ctx.bars_since_lo
flow.vol_tod
flow.vol_trend
flow.vol_z
loc.chan_pos50
loc.d_ema20
loc.d_ema200
loc.d_ema50
loc.d_prev_hi
loc.d_prev_lo
loc.d_vwap
loc.or_pos
mom.roc12
mom.roc36
mom.roc4
mom.run_dn
mom.run_up
mom.up_share20
rev.rsi14
rev.rsi4
rev.z20
rev.z60
sess.d_win_open
sess.dow
sess.frac_elapsed
sess.mins_left
str.chop
str.efficiency
str.hh20
str.ll20
str.range20
vol.atr_pct100
vol.atr_pct500
vol.atr_slope
vol.atr_tod
vol.range_exp
vol.rv_fast
vol.rv_ratio
