ent,exN,stop,tp,hold,s_start,s_stop,ok,r_pct,r_pf,r_sh,l_pct,l_pf,n
9,64,4.068864620086254,8.681582133971295,438,540,900,1,0.05605757151877659,1.2354168761304074,0.07956994385617745,0.08069324757660881,1.2836125706641124,481
8,26,7.367154694037295,2.560624242958986,49,630,900,1,0.029568753643140804,1.1786922608847286,0.06875310756873179,0.02762182002444504,1.1255143352987957,513
34,62,5.683092686187397,5.6130343169397685,18,540,780,1,0.014241867461001643,1.0663998574889042,0.026880772011286615,0.04323318520477157,1.1876045198668337,381
20,39,3.470848561610763,7.8887935533570985,35,630,840,1,0.0788922496399893,1.4339098983117775,0.14260091434140224,0.06943225009124601,1.306809012123002,244
40,44,3.9042018490761023,0.01712256675309831,11,630,780,1,-0.010529885416542374,0.004729656314597456,-0.111787004380651,-0.0016952160060538953,0.08488566052747669,448
18,78,7.615337566549557,10.180810570052264,54,540,780,1,0.04632505641238794,1.1833616323002623,0.06858227786694494,0.07775673269998315,1.2677796761120539,387
23,27,2.158509803260512,4.978821270879024,48,570,840,1,0.0276062427914365,1.1594923437853843,0.06121277083746366,0.07826264184102698,1.4182718968271648,454
57,8,7.1297020740905825,3.3187568694136105,54,540,900,1,0.011638945063644782,1.0732100643472788,0.0295630846072389,0.003963713123094198,1.0225049981620093,511
38,60,6.748593258145917,9.126181439763396,8,630,900,1,0.033086684824094444,1.2787895596179302,0.09098642373059208,0.027169560514131507,1.2032157940692394,337
17,55,1.9273179217172398,2.6889436433558322,82,600,900,1,0.021380987847652244,1.1252004305407237,0.053027728757506824,0.03382418147852231,1.1593362115812933,470
9,61,5.247146750492741,6.549219618452474,459,540,780,1,0.04028224813038912,1.1644250040740596,0.06328129047836588,0.07987054998600404,1.2938091805506196,433
18,18,4.371478007073987,9.229922301198833,116,630,840,1,0.06405419689687797,1.3493123357293044,0.1184425029933632,0.1125709141853354,1.5243251054224773,248
5,59,1.2621493557128431,6.593110386811918,244,540,840,1,0.0086141182184889,1.058495462933228,0.020070894298568596,0.062158449494778105,1.3789258538946882,790
19,52,2.98148847984101,10.39903328080156,314,600,900,1,0.08401594910424126,1.383257247544425,0.11791448921208983,0.009743163457250886,1.030437092630959,304
33,42,2.4940895681049042,8.53010165486875,237,600,900,1,0.05094585459918908,1.2381641681867437,0.08212330864992325,0.06760941263922637,1.2570202730623137,300
17,77,3.537338067650502,10.529328619687323,169,540,900,1,0.06021999197058526,1.2147095250224629,0.07297006682596588,0.07921939778760452,1.23985053878442,369
11,36,1.8972366495737063,11.831854744512086,87,600,900,1,0.047240099657730114,1.2642464179748447,0.08642714448478811,0.05226500798074241,1.2298166620918602,454
21,70,1.1288779965232059,9.26551969081042,381,600,960,1,0.05907944866851307,1.3859072986274352,0.10012538201698466,0.009805408729048374,1.0516514745265,406
