tp,block,n,pct,pf,sharpe,dd,rdd,total,ctl,excess,p
1.5,research,955,0.023847914705423193,1.1718359855242555,0.06862150579767655,5.467127223779309,4.165763409459393,22.774758543679162,0.010974256530506741,0.012873658174916452,0.09
1.5,LOCKED,458,0.01706564626179552,1.093891915714977,0.034948543201598965,9.555272247756083,0.8179846460929293,7.816065987902348,-0.006523440717559643,0.02358908697935516,0.12666666666666668
2.0,research,822,0.03866520866012036,1.2509209835870512,0.09979294610847406,5.264609511973809,6.037067221478104,31.78280151861892,0.018804352199482254,0.019860856460638107,0.05333333333333334
2.0,LOCKED,407,0.04358282886191309,1.2172750432077086,0.07738110252680075,6.564441771399467,2.7021659974321017,17.738211346798593,0.0017723722797651472,0.04181045658214794,0.02666666666666667
3.2,research,680,0.061604367418489424,1.3526967193299768,0.13190428021491046,5.919109395805407,7.077242038178742,41.8909698445728,0.0235201971646036,0.03808417025388582,0.013333333333333334
3.2,LOCKED,337,0.07908979348931262,1.3515944583592494,0.10925476762749073,8.345190370352356,3.19384690139465,26.653260405898344,0.003060779498890049,0.07602901399042257,0.0
5.0,research,578,0.06720556613431444,1.3430220304655358,0.12270042510947808,6.988950212924188,5.558033186987181,38.84481722563376,0.028827181748648952,0.03837838438566549,0.03333333333333333
5.0,LOCKED,287,0.09923480788157968,1.405455402772505,0.12475712962228562,7.705718703428433,3.69600694732626,28.480389862013386,0.01617935147310711,0.08305545640847256,0.01
8.0,research,519,0.0767403680481854,1.3818877886622214,0.1242253483951059,7.669904288985435,5.192796352648703,39.82825101700821,0.03649121953802255,0.040249148510162855,0.02
8.0,LOCKED,250,0.1093799143761887,1.4262993600395848,0.11569901646312074,8.159281348748843,3.3513954753184603,27.344978594047177,0.031285224125473035,0.07809469025071566,0.05
0.0,research,481,0.07542498190544326,1.378619773442671,0.11658961997808424,7.644302556853333,4.745941964841865,36.2794162965182,0.03958210897311167,0.03584287293233159,0.07666666666666666
0.0,LOCKED,236,0.11341040472774987,1.4435256931221996,0.11506831505592392,8.094017204323535,3.306745567757396,26.76485551574896,0.032840089956487184,0.08057031477126268,0.06333333333333334
