feed,day,blk,long_atr,short_atr
ISO,14613,0,2.008658252393766,-2.437172012904426
ISO,14614,0,-1.6591531051170292,1.2377808879444505
ISO,14615,0,7.791133632773593,-8.281913704129414
ISO,14616,0,0.5047010977405738,-0.979713895614055
ISO,14617,0,6.065602880292104,-6.61390596551625
ISO,14620,0,-2.824383283957637,2.30851419099734
ISO,14621,0,-0.7565507183429743,0.35305700189336353
ISO,14622,0,-4.294625129189071,3.8284514380966357
ISO,14623,0,-0.467555832264199,0.05195064802935544
ISO,14624,0,-2.934136883222118,2.4637341764931344
ISO,14627,0,-0.10170188984902738,-0.5763107091443342
ISO,14628,0,2.3756144429343284,-2.840282304632974
ISO,14629,0,-13.3903023444861,12.857354987491632
ISO,14630,0,-4.253868805180108,3.799516996883162
ISO,14631,0,0.914386785942344,-1.323051271279692
ISO,14634,0,-1.895447092036478,1.4155870687361027
ISO,14635,0,4.826572493131458,-5.3286866666691965
ISO,14636,0,-2.255280768110429,1.719902544226652
ISO,14637,0,-3.61747062489733,3.21384768209149
ISO,14638,0,-5.69802685520813,5.2197035095453215
ISO,14641,0,5.111466686217362,-5.627125368307392
ISO,14642,0,1.3543762616683592,-1.7279972993699813
ISO,14643,0,-4.389105878971294,3.9342762542074246
ISO,14644,0,-25.859082189767797,25.317814116721898
ISO,14645,0,-1.4784378298545104,1.1471352349291368
ISO,14648,0,-1.5685524824035464,1.1417354803890039
ISO,14649,0,0.6247935410859162,-0.9978046103909382
ISO,14650,0,-3.651043861609754,3.288207204555362
ISO,14651,0,7.528145244927851,-7.958017921297747
ISO,14652,0,0.46941848258825464,-0.7931553671318937
ISO,14655,0,-0.6502118899903482,0.12478814050327534
ISO,14656,0,3.075260338292889,-3.5492889068158853
ISO,14657,0,-5.322886541040051,4.921915803485237
ISO,14658,0,4.6379510455431,-5.066894494841887
ISO,14659,0,4.045918826826761,-4.473492811167765
ISO,14662,0,-5.102506090742849,4.7195788043831595
ISO,14663,0,-4.326301613461278,3.9352235015099777
ISO,14664,0,2.4010817983047223,-2.7503300598763127
ISO,14665,0,3.5426755513156185,-4.017405943451724
ISO,14666,0,3.889147295138055,-4.382224606724494
ISO,14669,0,3.5080638395925994,-3.906142005787502
ISO,14670,0,5.515508694079005,-5.9935592851151
ISO,14671,0,3.0060250125148515,-3.464960128929344
ISO,14672,0,-6.318138302847257,5.709161117030644
ISO,14673,0,3.120543640339583,-3.870223794174915
ISO,14676,0,-13.32152878209348,12.630846797279817
ISO,14677,0,4.3682040093555985,-4.922896581972199
ISO,14678,0,-11.963662172844948,11.276095381302133
ISO,14679,0,-0.3954336430290287,-0.22485442446760862
ISO,14680,0,-12.324908098406333,11.709432038560829
ISO,14683,0,-1.1728451298626559,0.6209180099272736
ISO,14684,0,2.403902041924071,-2.8256392422616243
ISO,14685,0,-0.8148272852135733,0.385970819311726
ISO,14686,0,1.088609467618418,-1.6398041347669774
ISO,14687,0,-16.658850595657125,16.04185612915131
ISO,14690,0,0.359959782293219,-0.7491054928804302
ISO,14691,0,3.5158036791388674,-4.020766505586099
ISO,14692,0,1.108412521432725,-1.56548984985861
ISO,14693,0,-1.4639863021305561,0.8602806105303156
ISO,14694,0,2.0234474034874985,-2.5389754043760386
ISO,14697,0,1.2101081654681987,-2.0668219109324304
ISO,14698,0,-8.694586778943776,7.826213567563638
