block,stop,R
LOCKED,0.0,-0.003395468216849316
LOCKED,1.0,-0.042298220405353595
LOCKED,1.5,-0.02527722702802466
LOCKED,2.0,-0.017378223306861493
LOCKED,2.5,0.003211027554184368
LOCKED,3.0,0.02261552392854143
LOCKED,4.0,0.019349738220398604
research,0.0,-0.11649807905991946
research,1.0,-0.1453801690321287
research,1.5,-0.13527521229035655
research,2.0,-0.12147894501882872
research,2.5,-0.11941160477803996
research,3.0,-0.12964896061101122
research,4.0,-0.14176142129519237
