feed,entry,side,block,n,mae,mfe,giveback,end,capture,t_mae,t_mfe,hold,amb
ISO,break,L,research,2721,-2.3754820775058003,2.3820149336927345,3.129275523020559,-0.126978133920397,-0.05330702680505378,5.265711135611907,5.185226019845645,11.804483645718486,0.9838294744579199
ISO,break,L,LOCKED,1924,-2.3920683383128,2.46376303280673,3.127293482006984,-0.008553464621459304,-0.003471707509027424,4.952182952182953,5.838357588357589,11.538461538461538,0.9927234927234927
ISO,break,S,research,2813,-2.4279475542344233,2.592059310297233,3.3496768247112914,-0.1528544676949599,-0.058970281693682375,5.250266619267686,4.673302523995734,11.494845360824742,0.979381443298969
ISO,break,S,LOCKED,1583,-2.3452983753193517,2.4579691024754973,3.2054187095507483,-0.17921814358955762,-0.07291309862644793,5.412507896399242,4.465571699305117,10.900189513581807,0.9879974731522426
ISO,all,L,research,42323,-2.5319698040994254,2.3500653741463027,3.2396813735956145,-0.2250567961696634,-0.09576618533491595,5.968338728351015,6.099945656026274,13.14493301514543,0.9752853058620609
ISO,all,L,LOCKED,23005,-2.584576342681302,2.466744990361858,3.3258122019974903,-0.08628788897217511,-0.03498046588087614,6.101499673983916,6.636166050858509,13.217039773962183,0.9868289502282113
ISO,all,S,research,42323,-2.410585691809389,2.471441214404894,3.3037284647565053,-0.2636121150388224,-0.10666331592365971,6.101103418944782,5.967417243579141,13.14493301514543,0.9756397230820122
ISO,all,S,LOCKED,23005,-2.5021415639893134,2.5492419460513096,3.3846841612532295,-0.1981917353143714,-0.07774536097735397,6.636513801347533,6.101456205172789,13.217039773962183,0.983307976526842
MT,break,L,research,961,-2.5221353277335115,2.6715629691126517,3.3654936540313845,0.03284738327529181,0.012295193358740832,5.0957336108220606,5.477627471383975,11.556711758584807,0.9875130072840791
MT,break,L,LOCKED,538,-2.115555096424654,2.4185950303988832,2.7203115797490445,0.47426176865172975,0.19608978050927064,4.470260223048327,6.057620817843866,11.743494423791821,0.9925650557620818
MT,break,S,research,821,-2.5040615222876497,2.496207218877414,3.148609042692433,-0.07383292486634616,-0.029578043164040706,5.483556638246041,4.509135200974422,10.652862362971986,0.9890377588306942
MT,break,S,LOCKED,374,-1.9304267046463859,2.3457707873898728,3.059645117800941,-0.09640676105513359,-0.04109811647983088,4.729946524064171,3.593582887700535,10.197860962566844,0.9919786096256684
MT,all,L,research,11338,-2.707472413273173,2.6435915994391346,3.533449595200974,-0.11955568143687755,-0.04522471680657577,6.15911095431293,6.68177809137414,13.226230375727642,0.9841241841594638
MT,all,L,LOCKED,6127,-2.427509753541905,2.269330633185327,3.046794055784048,0.11376261804205441,0.05013047300312184,5.831075567161743,6.5617757466949564,13.210380283988902,0.9923290354170067
MT,all,S,research,11338,-2.6824959910897164,2.668552227866844,3.566220301038499,-0.19353460821008503,-0.07252419727411161,6.682042688304816,6.158934556359147,13.226230375727642,0.9844769800670312
MT,all,S,LOCKED,6127,-2.283751940753946,2.4131135877892205,3.242471116807633,-0.22949851193610374,-0.0951047282222464,6.5617757466949564,5.830912355149339,13.210380283988902,0.9905337032805615
