feed,block,n,fitted_exponent,r2_p0.25,r2_p0.5,r2_p0.75,r2_p1.0
ISO,research,2721,0.4715116085001803,0.06490988129677033,0.0780396123842969,0.08883450924666071,0.09701054059953017
ISO,LOCKED,1924,0.49132042017357763,0.06805148359018913,0.07977355752303017,0.08892404542138806,0.09537760876110135
MT,research,961,0.47633462697494616,0.07645094717224911,0.09147803497301338,0.1038092372390794,0.11315175598379668
MT,LOCKED,538,0.4253457499641361,0.017589374417321977,0.022062393647999466,0.025564292213041875,0.02800878096428444
