feed,hour,mean_range_bp,share
ISO,0,8.233064040374167,0.027558052387918693
ISO,1,10.259468147807393,0.03434091600684428
ISO,2,12.566991301589981,0.042064752921804796
ISO,3,13.831671369071369,0.04629794233739747
ISO,4,12.344101851204465,0.04131868813713693
ISO,5,11.62242328817088,0.038903055809999885
ISO,6,11.647824972370456,0.03898808137769624
ISO,7,14.303115011462303,0.04787597799110413
ISO,8,22.250118622851268,0.07447651708270618
ISO,9,22.586861549637852,0.07560367693135275
ISO,10,21.762227768528536,0.07284342864113963
ISO,11,16.59841529545766,0.055558902010904895
ISO,12,13.553544042480814,0.04536698304944495
ISO,13,13.126567842841181,0.04393779065881602
ISO,14,12.061307999955735,0.04037210886489073
ISO,15,10.317743745604123,0.03453597849744852
ISO,16,7.092265205585327,0.023739523356804938
ISO,17,9.306398646218618,0.031150762362306694
ISO,18,7.511580524928871,0.025143072932134258
ISO,19,8.453163593156885,0.028294778711969972
ISO,20,11.083103919590421,0.03709782371897341
ISO,21,11.435391034801482,0.03827701371785674
ISO,22,8.96697112345708,0.030014616523006406
ISO,23,7.83915864785537,0.02623955597034153
MT,0,10.181233583053947,0.030070756304235398
MT,1,13.23065937936551,0.03907738003413005
MT,2,14.696343157111276,0.04340634659207474
MT,3,15.538784540485981,0.04589453717658591
MT,4,14.376670612244023,0.042462178568088156
MT,5,12.959835690115247,0.03827748942220914
MT,6,12.856854606426218,0.03797332990693064
MT,7,14.084170153108367,0.04159826458813732
MT,8,23.208860679214826,0.06854847085968505
MT,9,26.01274901283899,0.07682988804718954
MT,10,25.612178517005454,0.07564678408786912
MT,11,19.104692239328628,0.05642661470339673
MT,12,14.943553066060511,0.04413649278382677
MT,13,13.944397594769047,0.04118543970738446
MT,14,12.982279666790935,0.038343778771884406
MT,15,12.102914986569507,0.03574653347878912
MT,16,8.543582033293102,0.0252338747748618
MT,17,,0.0
MT,18,10.837964389667487,0.03201044189165083
MT,19,9.834106619992339,0.0290455003538927
MT,20,14.20057800326598,0.04194208069503971
MT,21,16.447561482821083,0.048578652980917535
MT,22,12.712837271948468,0.03754796787851454
MT,23,10.163099487441357,0.03001719639270645
