feed,policy,q1,q2,q3,q4,spread,mean_mult
ISO,fixed 2.0N,0.5678832116788322,0.4298375184638109,0.36148148148148146,0.24519940915805022,0.32268380252078194,2.0
ISO,vol-adaptive,0.48759124087591244,0.5036927621861153,0.45037037037037037,0.33382570162481534,0.1698670605612999,1.8263817243920413
ISO,vol + clock,0.5474452554744526,0.6366322008862629,0.5792592592592593,0.4859675036927622,0.15066469719350073,1.4060774575231012
MT,fixed 2.0N,0.5809128630705395,0.5462184873949579,0.38333333333333336,0.22594142259414227,0.35497144047639717,2.0
MT,vol-adaptive,0.46473029045643155,0.592436974789916,0.4583333333333333,0.2928870292887029,0.29954994550121306,1.8279749478079337
MT,vol + clock,0.5643153526970954,0.6932773109243697,0.6,0.4811715481171548,0.21210576280721494,1.3818921988670037
