feed,side,block,n,win,win_mae,lose_mae,win_mfe,lose_mfe,win_end,lose_end,win_gb,lose_gb,lose_ever_up
ISO,L,research,2721,0.45167217934582876,-1.168239640341097,-3.3699197150898623,3.991721663469873,1.0560567762556683,2.4079484342800894,-2.2150644290399666,1.9238669742500136,4.122202538060104,0.613941018766756
ISO,L,LOCKED,1924,0.49480249480249483,-1.1378512248740473,-3.6204785152610426,3.7888203270940637,1.1659702918997943,2.4667501440844357,-2.432924900308715,1.6227569418364287,4.6008724801987215,0.6378600823045267
ISO,S,research,2813,0.4141485958051902,-1.160391881109775,-3.324004811024603,4.647454451227358,1.1390645656469929,2.842693772635532,-2.270459868171309,2.0866806496448884,4.242510892643549,0.6407766990291263
ISO,S,LOCKED,1583,0.4497789008212255,-1.2319819659410256,-3.2553802162807384,4.024681882083192,1.1772578520958428,2.455216244529295,-2.3327397099967024,1.9945286782589178,4.195262225371395,0.6670493685419059
MT,L,research,961,0.49011446409989595,-1.1305901424527265,-3.8597226384830012,4.166871194489517,1.234236083087134,2.7075904356435396,-2.5381811425725544,1.7682479736722931,4.900805318213287,0.6612244897959184
MT,L,LOCKED,538,0.570631970260223,-1.1023376117686594,-3.4621255197553475,3.585473358718576,0.8678086806406772,2.460391792856501,-2.165313631481884,1.6570977353534915,4.13332738160807,0.5974025974025974
MT,S,research,821,0.4531059683313033,-1.4725770315702058,-3.358654463372036,4.104253227821923,1.1639285655870855,2.736605777130215,-2.4023032971218488,1.7836295196947543,4.279505217648195,0.6659242761692651
MT,S,LOCKED,374,0.45454545454545453,-0.9657095128712265,-2.7343576977923516,3.9411472764957987,1.0162903798016003,2.1154902548952967,-1.9396542743471588,2.4884560742677277,3.535635987411952,0.5931372549019608
