feed,block,n,n_cut,share_cut,trail_paid,flatten_would_pay,edge,cut_that_would_have_won
ISO,research,2721,1514,0.5564130834252113,1.0916216723433123,0.9851410004224793,0.10648067192083299,0.47357992073976224
ISO,LOCKED,1924,1125,0.5847193347193347,1.1132175774245607,1.0493041108751482,0.06391346654941255,0.4915555555555556
MT,research,961,577,0.6004162330905307,1.2055785825346301,1.1692255166567829,0.03635306587784726,0.49393414211438474
MT,LOCKED,538,296,0.550185873605948,1.178500041352104,1.8482938751749594,-0.6697938338228553,0.5844594594594594
