feed,feat,block,quartile,n,mae,stopped_2N,end
ISO,vol.atr_pct100,research,1,689,3.1675942947580036,0.5544267053701016,-0.17609671886020176
ISO,vol.atr_pct100,research,2,683,2.5516199491533307,0.44363103953147875,-0.16090534169849502
ISO,vol.atr_pct100,research,3,669,2.156414713200708,0.3602391629297459,-0.15209340776035082
ISO,vol.atr_pct100,research,4,679,1.6114903293703793,0.24594992636229748,-0.016206949578097873
ISO,vol.atr_pct100,LOCKED,1,493,3.1063882248384767,0.5456389452332657,0.050521398017767685
ISO,vol.atr_pct100,LOCKED,2,478,2.678720110509837,0.4707112970711297,0.09230051045277754
ISO,vol.atr_pct100,LOCKED,3,488,2.0604231585957367,0.38114754098360654,-0.08643231643875442
ISO,vol.atr_pct100,LOCKED,4,465,1.688119083548465,0.2709677419354839,-0.09312814780379072
ISO,vol.atr_pct500,research,1,685,3.1834582502161397,0.5678832116788322,-0.20303079977417612
ISO,vol.atr_pct500,research,2,677,2.5679448637819617,0.4298375184638109,-0.039057018928727295
ISO,vol.atr_pct500,research,3,675,2.1817673713025147,0.36148148148148146,-0.26100616843617186
ISO,vol.atr_pct500,research,4,677,1.5632193101320482,0.24519940915805022,-0.004621230928849435
ISO,vol.atr_pct500,LOCKED,1,482,3.176882627299213,0.5560165975103735,0.34046030683108186
ISO,vol.atr_pct500,LOCKED,2,481,2.562898041931382,0.47401247401247404,-0.030927008192962985
ISO,vol.atr_pct500,LOCKED,3,482,2.2422133887371136,0.4024896265560166,-0.366891458379709
ISO,vol.atr_pct500,LOCKED,4,479,1.5815892380278127,0.24217118997912318,0.023296117026233205
ISO,vol.rv_ratio,research,1,681,3.084195706260924,0.5433186490455213,-0.4070974746789513
ISO,vol.rv_ratio,research,2,680,2.561919086963804,0.4411764705882353,-0.1450956630633332
ISO,vol.rv_ratio,research,3,680,2.1400022591421104,0.34558823529411764,0.01292320777878755
ISO,vol.rv_ratio,research,4,680,1.7147690317317223,0.27647058823529413,0.031769334488906835
ISO,vol.rv_ratio,LOCKED,1,481,2.977233563694772,0.5280665280665281,0.04014553160833411
ISO,vol.rv_ratio,LOCKED,2,481,2.7237272709712963,0.48440748440748443,-0.0013758694602178326
ISO,vol.rv_ratio,LOCKED,3,481,2.057790746301723,0.3762993762993763,0.03505738365496008
ISO,vol.rv_ratio,LOCKED,4,481,1.8095217722834072,0.2869022869022869,-0.10804090428891365
MT,vol.atr_pct100,research,1,257,3.383989306426633,0.556420233463035,0.10999020850945519
MT,vol.atr_pct100,research,2,240,2.7563743167146204,0.5,0.10394272276980629
MT,vol.atr_pct100,research,3,228,2.101262927423656,0.3684210526315789,-0.10409663185920963
MT,vol.atr_pct100,research,4,236,1.751987350576938,0.2966101694915254,0.008841653982083678
MT,vol.atr_pct100,LOCKED,1,136,2.654126102714673,0.5,0.6685838408935879
MT,vol.atr_pct100,LOCKED,2,133,2.468386685768752,0.40601503759398494,0.08391775699069595
MT,vol.atr_pct100,LOCKED,3,138,1.7845772073825323,0.3115942028985507,1.0333694400161177
MT,vol.atr_pct100,LOCKED,4,131,1.5468733441315634,0.26717557251908397,0.0798426318405788
MT,vol.atr_pct500,research,1,241,3.531333533538114,0.5809128630705395,0.38457454527054985
MT,vol.atr_pct500,research,2,238,2.832629061049755,0.5462184873949579,-0.16787038502236848
MT,vol.atr_pct500,research,3,240,2.1438868791359837,0.38333333333333336,-0.2635711505769633
MT,vol.atr_pct500,research,4,239,1.5775895886429667,0.22594142259414227,0.1892521417852759
MT,vol.atr_pct500,LOCKED,1,135,2.693783951598326,0.4888888888888889,1.02549759619271
MT,vol.atr_pct500,LOCKED,2,134,1.9644053007492597,0.3582089552238806,0.44435385933051746
MT,vol.atr_pct500,LOCKED,3,134,2.177296014482551,0.3880597014925373,0.3918359553182352
MT,vol.atr_pct500,LOCKED,4,135,1.626072830886127,0.2518518518518518,0.0345275621161616
MT,vol.rv_ratio,research,1,241,3.015689428190829,0.5186721991701245,0.3961334813008718
MT,vol.rv_ratio,research,2,240,2.931129492015479,0.5166666666666667,0.02949319276570197
MT,vol.rv_ratio,research,3,240,2.169827059949304,0.37083333333333335,-0.1118974781824931
MT,vol.rv_ratio,research,4,240,1.9698388553598627,0.32916666666666666,-0.18385335485802004
MT,vol.rv_ratio,LOCKED,1,135,2.361296550955312,0.42962962962962964,0.7955352050197952
MT,vol.rv_ratio,LOCKED,2,134,2.5445731937082305,0.4253731343283582,-0.13460364383235843
MT,vol.rv_ratio,LOCKED,3,134,2.175694323460054,0.3880597014925373,0.37814651392936405
MT,vol.rv_ratio,LOCKED,4,135,1.3842797051625666,0.24444444444444444,0.8527469204737737
