day,blk,up_in,dn_in,up_af,dn_af,ext_up,ext_dn,feed
14613,0,4.927908245872611,0.3749495404468516,3.5352385242130158,-0.4820779805745409,-1.3926697216595953,-0.8570275210213925,ISO
14614,0,0.18435034501307512,4.450744043885268,-1.0797663065047094,5.8992110404160085,-1.2641166515177844,1.44846699653074,ISO
14615,0,9.539537636978732,0.5521275802753538,11.011877851046249,-6.502835945464565,1.472340214067517,-7.054963525739919,ISO
14616,0,3.800102382987904,0.35625959840505694,3.503219384316978,-0.3859478982722575,-0.29688299867092577,-0.7422074966773144,ISO
14617,0,12.028398932104652,1.6106403128460196,11.377289018400948,-5.585837680720885,-0.6511099137037034,-7.196477993566904,ISO
14620,0,2.8179349202956976,3.114559648747745,-1.4186400056408457,5.4811091127031535,-4.2365749259365435,2.3665494639554088,ISO
14621,0,2.7891503149579204,1.906507810224397,0.08069874328996343,11.388610146790226,-2.708451571667957,9.48210233656583,ISO
14622,0,1.678225287932696,8.921399013281569,2.6338813546722455,4.1839088775546385,0.9556560667395494,-4.737490135726931,ISO
14623,0,3.470303288360977,2.5351916238324845,5.283380904585487,0.5350916747023469,1.8130776162245097,-2.0000999491301372,ISO
14624,0,1.099566326978934,4.986268691327232,-1.4229681878552167,4.2630245297314096,-2.5225345148341507,-0.7232441615958223,ISO
14627,0,1.839109174769555,1.2119475207006878,1.0848201583893555,0.542410079194774,-0.7542890163801995,-0.6695374415059138,ISO
14628,0,4.298177720712521,0.23233393084924336,6.307866222559182,-2.137472163813805,2.0096885018466617,-2.369806094663048,ISO
14629,0,0.9259960327779592,15.009129941356758,-10.445768197091512,14.096457592503647,-11.371764229869472,-0.9126723488531094,ISO
14630,0,3.3622033813974395,8.871219056997804,0.31236686820412435,5.878176519841683,-3.0498365131933154,-2.9930425371561196,ISO
14631,0,2.967925824762462,5.2922050851186055,1.992239366019618,2.799351724560843,-0.975686458742844,-2.4928533605577625,ISO
14634,0,0.9777147974745808,2.819177636889734,0.49185652388298323,2.2433456089292614,-0.4858582735915976,-0.5758320279604726,ISO
14635,0,6.5212078288214395,3.7658563015330375,5.899841539068483,-3.1444900117800807,-0.6213662897529569,-6.910346313313118,ISO
14636,0,2.1883584901249264,4.015336679128327,-1.2581388261267967,8.820356238485116,-3.446497316251723,4.805019559356789,ISO
14637,0,2.119020449730682,4.984743343652061,-1.548903043017378,8.95538404350457,-3.6679234927480597,3.9706406998525083,ISO
14638,0,3.4020747960267546,5.805649607982218,-0.5381137638705774,5.811628649802998,-3.940188559897332,0.005979041820779662,ISO
14641,0,7.45126795620088,1.0893289659152208,13.342668399079523,-5.066346551534614,5.891400442878642,-6.155675517449835,ISO
14642,0,3.002979090526818,1.3590465246396888,2.9796277756703815,-1.0741604833921425,-0.023351314856436337,-2.433207008031831,ISO
14643,0,0.44914425445442857,4.167376436898902,-2.768775340749986,5.827504567287063,-3.217919595204415,1.6601281303881608,ISO
14644,0,1.6035066663985569,29.51264168282759,-23.51133192293125,29.7832757193506,-25.11483858932981,0.2706340365230112,ISO
14645,0,4.571975809970143,3.598774437376895,6.112532876373142,2.0830650655933702,1.5405570664029993,-1.5157093717835246,ISO
