n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,tie
421,2.7812589073634206,50.70324170703343,1.12550321612476,6.924091683420347,1.1401587470688292,0.3515439429928741,0.24838461538461537,1170.91,0.09270863024544725,621.9999999999998,1.882491961414792,0.4610949351783533,0.0166270783847981,30.0,0.5961995249406176,0.18052256532066507,0.0,0.22327790973871733,0.0,False,30,100,flatten,0
421,4.942779097387174,51.92135049532349,1.953287942534401,7.090437988834789,1.2560130607986575,0.3681710213776722,0.24838461538461537,2080.9100000000003,0.16475930324623903,585.2399999999999,3.5556523819287826,0.8034725685044105,0.0166270783847981,30.0,0.5795724465558195,0.19714964370546317,0.0,0.22327790973871733,0.0,False,30,100,flatten,1
422,2.776350710900473,50.587290616559166,1.1274288174325366,6.900067278445833,1.1404693822497978,0.34834123222748814,0.24838461538461537,1171.6199999999997,0.09254502369668238,621.9999999999998,1.8836334405144697,0.4625866874719811,0.016587677725118485,30.0,0.5829383886255924,0.18009478672985782,0.016587677725118485,0.22037914691943128,0.0,False,30,100,+chan10,0
422,4.932748815165876,51.80557159691488,1.9559995771285013,7.066239861046128,1.2565239466056746,0.36492890995260663,0.24838461538461537,2081.62,0.16442496050552913,585.2399999999999,3.5568655594286107,0.8057768580425319,0.016587677725118485,30.0,0.566350710900474,0.1966824644549763,0.016587677725118485,0.22037914691943128,0.0,False,30,100,+chan10,1
423,0.7927423167848693,46.67839205033745,0.3492901493996181,6.359366204427042,1.0445543107388473,0.2718676122931442,0.24838461538461537,335.3299999999997,0.026424743892828926,634.2300000000006,0.5287198650331889,0.14387353338359604,0.026004728132387706,15.0,0.6879432624113475,0.15130023640661938,0.0,0.1607565011820331,0.0,False,30,100,+be1R,0
423,3.8187470449172576,48.978160275488165,1.603572526958943,6.672681802643602,1.2206394368082518,0.2978723404255319,0.24838461538461537,1615.33,0.12729156816390846,634.2300000000007,2.5469151569619823,0.6620180937117257,0.026004728132387706,15.0,0.6619385342789598,0.1773049645390071,0.0,0.1607565011820331,0.0,False,30,100,+be1R,1
445,2.979139286323325,40.38358952485242,1.5562017351978255,5.364052803357664,1.2237008736897836,0.35730337078651686,0.24838461538461537,1325.7169824138796,0.09930464287744409,500.96606535308126,2.6463209269065224,0.6372222049065155,0.033707865168539325,15.0,0.8179775280898877,0.1101123595505618,0.0,0.07191011235955057,0.0,False,30,100,+trail1atr,0
445,5.759069794772335,43.168202599837755,2.814286977325324,5.7339261045398,1.4470276723634723,0.3707865168539326,0.24838461538461537,2562.7860586736892,0.19196899315907773,500.9660653530809,5.1156879395961425,1.1489311762306906,0.033707865168539325,15.0,0.7842696629213484,0.14382022471910114,0.0,0.07191011235955057,0.0,True,30,100,+trail1atr,1
418,3.75306220095694,59.33260362928779,1.2932440728856158,8.131551118279486,1.1814713619085737,0.3253588516746411,0.17938888888888888,1568.7800000000009,0.1251020733652312,721.3699999999999,2.174723096330595,0.5269583251636,0.0,30.0,0.6220095693779905,0.10047846889952153,0.0,0.27751196172248804,0.0,False,30,150,flatten,0
418,3.75306220095694,59.33260362928779,1.2932440728856158,8.131551118279486,1.1814713619085737,0.3253588516746411,0.17938888888888888,1568.7800000000009,0.1251020733652312,721.3699999999999,2.174723096330595,0.5269583251636,0.0,30.0,0.6220095693779905,0.10047846889952153,0.0,0.27751196172248804,0.0,False,30,150,flatten,1
